,section,subsection,sample,sio2,al2o3,fe2o3_tot,mgo,cao,na2o,k2o,tio2,p2o5,mno,loi,cs_ppm,rb_ppm,ba_ppm,sr_ppm,pb_ppm,th_ppm,u_ppm,zr_ppm,hf_ppm,ta_ppm,y_ppm,nb_ppm,sc_ppm,cr_ppm,ni_ppm,co_ppm,v_ppm,w_ppm,ga_ppm,zn_ppm,cu_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,87sr/86sr,143nd/144nd,208pb/204pb,207pb/204pb,206pb/204pb,data from:,age_ma,longitude,latitude,lithology
0,Rivadavia range section,Lower part of the section,RV08,64.32,14.85,5.55,1.2,2.46,4.64,2.7,0.689,0.22,0.098,2.17,1.8,92,570,182,14,9.25,2.11,382,8.6,1.09,48.8,13.3,10,< 20,< 20,7,29,,22,80,< 10,40.4,80.9,10.1,37.8,8.14,1.95,8.14,1.31,7.88,1.6,4.58,0.68,4.59,0.742,,,,,,Fernández Paz et al. (2018) and this study,37.0,-71.51277777777777,-42.83694444444445,Basaltic andesites
1,Rivadavia range section,Lower part of the section,LS25,49.64,16.78,8.26,5.43,7.91,3.73,0.76,1.921,0.38,0.101,3.6,0.2,12,132,350,< 5,1.81,0.24,222,4.7,0.64,33.6,8.6,26,160,70,34,190,,19,80,40,16.2,38.5,5.15,22.5,5.5,1.89,5.82,0.95,5.8,1.15,3.31,0.48,3.03,0.483,,,,,,Fernández Paz et al. (2018) and this study,37.0,-71.51777777777778,-42.83444444444444,Fine grained basalts
2,Rivadavia range section,Lower part of the section,LS17,52.85,16.87,9.9,4.54,7.74,4.01,0.92,1.962,0.4,0.143,1.38,0.3,20,188,366,< 5,2.33,0.53,210,4.2,0.53,29.1,3.5,24,30,80,29,202,,18,100,40,16.6,39.3,5.37,22.6,5.52,1.8,5.62,0.9,5.47,1.09,3.23,0.463,3.02,0.466,0.7035178190755701,0.5128514960432511,38.267996,15.546419,18.494958,Fernández Paz et al. (2018) and this study,37.0,-71.52166666666666,-42.83305555555556,Fine grained basalts
3,Rivadavia range section,Lower part of the section,LS10,54.32,17.27,9.31,3.52,6.73,4.12,1.29,1.657,0.65,0.198,1.03,0.7,30,305,379,7,3.67,0.88,267,4.8,0.67,36.6,6,19,< 20,50,21,141,,20,90,30,23.8,54.8,7.37,31.3,7.42,2.39,7.28,1.13,6.97,1.37,3.73,0.534,3.55,0.571,,,,,,Fernández Paz et al. (2018) and this study,37.0,-71.5213888888889,-42.81472222222222,Fine grained basalts
4,Rivadavia range section,Lower part of the section,LS07,56.79,16.4,8.16,2.53,5.67,4.07,1.87,1.451,0.55,0.136,0.94,1.8,73,377,331,10,5.32,1.38,269,5.9,0.78,36.8,9.2,16,20,< 20,19,134,,20,90,30,27.8,61.2,7.99,31.7,7.06,2.21,7.1,1.15,6.63,1.29,3.66,0.525,3.44,0.561,0.7037527932907315,0.512808027518613,,,,Fernández Paz et al. (2018) and this study,37.0,-71.52305555555556,-42.81222222222222,Fine grained basalts
5,Rivadavia range section,Upper part of the section,LS30B,60.98,15.92,6.28,1.64,5.43,3.78,1.99,1.19,0.35,0.108,1.49,3.4,88,383,294,12,6.58,1.99,198,4.7,0.71,28.3,7.6,16,30,< 20,16,139,,19,70,40,23.5,47.7,5.95,23.5,5.52,1.59,5.57,0.85,4.93,0.95,2.65,0.381,2.44,0.359,0.7039314747299144,0.5127421049607436,38.56202,15.597474,18.664056,Fernández Paz et al. (2018) and this study,37.0,-71.52222222222223,-42.805,Aphanitic basalts
6,Rivadavia range section,Upper part of the section,LS35B,64.4,15.88,5.04,0.72,3.38,4.49,2.42,0.518,0.28,0.08,1.65,3.3,97,572,296,14,7.03,1.81,407,8.5,0.8,34.5,8.7,5,20,< 20,6,10,0.9,19,70,10,32.8,67.5,8.19,30.7,6.38,1.86,5.74,0.96,5.59,1.11,3.51,0.526,3.61,0.594,,,,,,Fernández Paz et al. (2018) and this study,37.0,-71.53388888888888,-42.82333333333334,Aphanitic basalts
7,Rivadavia range section,Upper part of the section,LS04,66.02,14.79,5.18,0.86,2.7,5.4,2.01,0.671,0.22,0.11,2.02,4.5,112,619,187,14,9.01,2.17,413,9.1,1.07,42.6,15.2,10,< 20,< 20,6,27,1.3,21,80,< 10,35.8,76.3,9.06,34.5,7.5,1.8,6.98,1.14,6.99,1.4,4.08,0.62,4.27,0.675,0.7035160533505957,0.5128132563018855,38.300109,15.542805,18.470767,Fernández Paz et al. (2018) and this study,37.0,-71.53111111111112,-42.81472222222222,Columnar andesites
8,Rivadavia range section,Upper part of the section,LS08,65.86,14.55,4.72,1.58,2.18,4.51,2.45,0.665,0.21,0.122,2.19,0.5,69,564,180,14,8.9,2.08,364,8,1.09,44.4,12.2,10,20,< 20,6,28,3.6,21,80,< 10,36.8,76.7,9.04,33,6.91,1.84,6.84,1.15,7.12,1.48,4.37,0.668,4.33,0.705,,,,,,Fernández Paz et al. (2019),37.0,-71.5225,-42.8125,Columnar andesites
9,Las Bayas range section,Upper part of the section,SA06,66.2,15.41,4.33,1.5,4.54,3.53,1.95,0.628,0.21,0.103,1.86,0.9,58,646,350,10,5.56,1.11,180,4.4,0.51,19,7.4,12,40,< 20,11,97,,18,60,30,25.5,50.5,6.16,23.1,4.69,1,3.98,0.58,3.35,0.71,1.96,0.292,2.03,0.284,0.7045752687182971,0.5126395003959305,38.452,15.6,18.511,Fernández Paz et al. (2019),33.0,-71.09952,-41.47698,Andesite
10,Las Bayas range section,Upper part of the section,VB03,61.39,16.72,5.54,2.24,4.17,3.9,2.5,0.741,0.27,0.089,2.69,0.7,62,960,513,11,4.83,1.07,202,4.6,0.49,23.2,7.2,14,70,30,12,103,,16,70,30,28.3,57.4,6.89,25.9,5.3,1.27,4.58,0.67,4.04,0.79,2.32,0.351,2.24,0.361,,,,,,Fernández Paz et al. (2019),33.0,-71.10227,-41.47845,Andesite
11,Las Bayas range section,Lower part of the section,VB07,63.17,16.59,5.6,1.31,5.08,4.03,0.62,0.72,0.2,0.133,3.29,1.2,15,413,433,12,6.67,1.78,161,4.4,0.41,21.7,5.4,15,40,20,10,110,,16,70,50,24.2,49.2,6.09,23.6,4.86,1.22,4.19,0.65,3.79,0.74,2.12,0.307,2.09,0.324,,,,,,Fernández Paz et al. (2019),33.0,-71.11188,-41.48168,Basaltic Andesite
12,Las Bayas range section,Lower part of the section,189.0,59.33,16.58,5.77,3.39,6.92,3.05,1.0,0.692,0.2,0.106,3.89,129.0,29.0,345.0,843.0,8.0,6.26,1.61,146.0,4.2,0.38,18.4,5.2,15.0,50.0,30.0,16.0,132.0,,17.0,70.0,70.0,18.2,39.2,4.99,19.8,3.86,0.992,3.51,0.55,3.22,0.68,2.02,0.301,2.13,0.307,0.7044180091336236,0.5126412251065403,38.369057,15.558067,18.550978,Fernández Paz et al. (2019),33.0,-71.11882,-41.48152,Basaltic Andesite
13,Las Bayas range section,Lower part of the section,VB12b,57.76,17.37,6.51,3.46,6.56,3.38,1.71,0.743,0.2,0.112,2.8,7.5,84,604,660,8,5.87,1.5,149,4.1,0.4,21.9,5.3,16,50,30,17,132,,18,60,20,19.8,42.8,5.22,20.5,4.4,1.13,4.08,0.63,3.73,0.74,2.19,0.329,2.16,0.344,0.7044243641664141,0.5126459658572197,38.386588,15.562349,18.556267,Fernández Paz et al. (2019),33.0,-71.12993,-41.48291,Basaltic Andesite
14,Ventana-Ñireco hills section,Middle Member,VA13,55.12,16.02,7.57,4.72,7.18,3.99,1.8,1.109,0.25,0.105,2.58,0.3,37,404,415,< 5,2.78,0.67,130,3.3,0.64,19.9,8.1,24,100,40,23,195,,17,70,30,12.1,25.2,3.31,14.4,3.41,1.11,3.43,0.62,3.77,0.72,2.05,0.331,2.19,0.325,,,,,,Fernández Paz et al. (2019),21.0,-71.3574,-41.1864,Basalt
15,Ventana-Ñireco hills section,Upper Member,SA03,76.19,12.25,1.1,0.08,0.36,3.72,4.2,0.056,0.03,0.069,0.57,1.5,129,498,47,13,13.3,4.19,59,2.4,2.3,15,17.7,2,< 20,< 20,< 1,7,0.7,12,40,< 10,14.7,29.7,3.3,11.4,2.59,0.213,2.07,0.39,2.34,0.5,1.61,0.293,2.11,0.304,,,,,,Fernández Paz et al. (2019),21.0,-71.2665,-41.2958,Crystal-rich tuff 
16,Ventana-Ñireco hills section,Upper Member,VS12,46.76,20.31,8.61,5.59,12.47,2.21,0.56,1.059,0.22,0.143,2.7,0.1,13,118,427,< 5,0.87,0.3,69,1.7,0.51,18.1,7.9,32,140,50,30,221,,16,50,50,8.6,19.9,2.7,11.9,3.11,1.16,3.45,0.54,3.3,0.65,1.83,0.261,1.72,0.26,0.7033080225543661,0.512864637452723,38.137614,15.528615,18.528793,Fernández Paz et al. (2019),21.0,-71.3908,-41.1888,Basalt
17,Ventana-Ñireco hills section,Upper Member,VS08,47.78,17.61,10.64,6.06,10.57,2.87,0.66,1.483,0.32,0.175,2.56,0.7,11,177,384,< 5,1.08,0.29,81,2.1,0.31,24.7,4.7,34,90,40,31,283,,17,80,60,9.27,22.4,3.11,14.5,4.02,1.43,4.32,0.72,4.4,0.89,2.49,0.357,2.3,0.363,,,,,,Fernández Paz et al. (2019),21.0,-71.3356,-41.2138,Basalt
18,Ventana-Ñireco hills section,Upper Member,VS05,47.46,17.19,10.8,6.52,10.71,2.61,0.79,1.315,0.25,0.161,2.95,0.7,12,201,406,< 5,1.16,0.4,82,2.1,0.52,22.1,8,35,190,80,36,272,,17,80,60,9.87,22.8,3.09,13.9,3.78,1.33,4.19,0.66,3.93,0.78,2.21,0.312,2.17,0.332,0.7039499828074514,0.512754844008383,38.15,15.5146,18.4713,Fernández Paz et al. (2019),21.0,-71.3371,-41.2144,Basalt
19,Ventana-Ñireco hills section,Upper Member,SA07,58.24,15.81,6.88,3.37,7.19,3.56,0.94,1.015,0.22,0.171,1.84,< 0.1,15,437,302,< 5,4.39,1.03,142,3.8,0.72,22.5,9.3,22,80,20,20,177,,19,70,30,15,31.9,4.13,16.9,3.99,1.11,3.85,0.61,3.53,0.75,2.37,0.388,2.58,0.375,0.7037599602365022,0.5128157646371267,38.435,15.6,18.489,Fernández Paz et al. (2019),21.0,-71.3381,-41.2127,Basalt
