,Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Longitude,Latitude
105,QCA-3,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078.0,7202995.0,160.0,84.96,0.28,7.56,0.99,0.89,0.99,0.0,0.89,0.02,0.54,0.28,2.45,1.41,0.07,0.71,99.3,98.59,60.79,47.19,196.0,5.56,0.99,-0.25,7.0,269.0,8.0,20.0,8.65,20.13,2.56,10.38,2.36,0.4,2.41,0.43,2.84,0.59,1.67,0.25,1.54,0.21,-2.5,222.0,0.0,-4,16.0,14.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,20.56,0.0,0.0,-70.34999908040236,-25.2833294380264
106,QCA-5,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078.0,7202995.0,160.0,64.07,0.94,15.15,2.3,2.07,2.3,0.0,2.07,0.08,3.08,6.6,5.39,0.81,0.17,0.98,99.5,98.52,249.67,38.7,94.0,14.23,2.27,-0.25,11.0,290.0,8.0,31.0,18.51,53.31,7.44,30.45,6.28,1.19,5.7,0.87,5.41,1.08,3.08,0.42,2.79,0.41,16,35.0,0.0,23,51.0,139.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,5.91,0.0,0.0,-70.34999908040236,-25.2833294380264
107,QCA-6,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078.0,7202995.0,160.0,62.31,1.07,15.95,2.23,2.01,2.23,0.0,2.01,0.05,3.46,8.18,4.32,0.74,0.2,0.77,99.23,98.46,322.0,34.3,146.0,18.6,4.04,-0.25,10.0,311.0,8.0,33.0,30.19,71.18,8.48,32.49,6.53,1.43,6.08,0.97,5.75,1.17,3.25,0.47,2.99,0.43,14,31.0,0.0,35,59.0,159.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,11.5,0.0,0.0,-70.34999908040236,-25.2833294380264
108,QCA-7,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078.0,7202995.0,160.0,61.71,0.99,15.19,6.42,5.78,6.42,0.0,5.78,0.14,3.02,5.32,3.23,3.09,0.18,0.68,99.99,99.31,228.0,133,387.0,10.7,2.09,-0.25,9.0,393.0,10.0,32.0,13.59,31.39,4.17,18.26,4.7,1.14,4.91,0.81,5.02,1.02,2.95,0.43,2.77,0.41,19,87.0,0.0,23,49.0,139.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.56,0.0,0.0,0.0,0.0,30.5,0.0,0.0,-70.34999908040236,-25.2833294380264
109,QCA-9,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,364078.0,7202995.0,160.0,61.33,0.64,17.15,5.66,5.09,5.66,0.0,5.09,0.11,2.63,5.02,3.82,2.13,0.15,1.54,100.14,98.6,387.0,56,412.0,4.45,0.92,-0.25,5.0,140.0,5.0,21.0,16.83,35.26,4.33,17.26,3.64,0.99,3.48,0.54,3.28,0.66,1.92,0.28,1.81,0.28,11,103.0,0.0,14,22.0,114.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,13.2,0.0,0.0,-70.34999908040236,-25.2833294380264
110,QMA-1,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,358813.0,7225094.0,160.0,58.05,0.89,16.36,7.34,6.6,7.34,0.0,6.6,0.15,3.61,6.54,3.64,1.94,0.27,0.73,99.48,98.75,356.0,118,251.0,26.3,5.23,-0.25,7.0,219.0,6.0,23.0,21.19,48.82,6.23,24.95,5.43,1.34,5.04,0.77,4.4,0.89,2.6,0.36,2.39,0.36,14,94.0,0.0,24,59.0,166.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.85,0.0,0.0,0.0,0.0,11.2,0.0,0.0,-70.39999775007641,-25.083328509282243
111,QMA-2,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,358813.0,7225094.0,160.0,61.26,0.98,15.12,6.52,5.87,6.52,0.0,5.87,0.1,2.82,5.34,3.41,3.11,0.2,0.39,99.24,98.85,219.0,164,295.0,15.4,4.11,-0.25,9.0,415.0,10.0,33.0,22.77,53.49,6.78,27.13,5.95,1.19,5.68,0.87,5.24,1.06,3.1,0.46,2.76,0.42,15,63.0,0.0,15,39.0,153.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,0.0,0.0,14.1,0.0,0.0,-70.39999775007641,-25.083328509282243
112,QPA-2,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,357267.0,7212155.0,160.0,71.49,0.35,15.42,1.31,1.18,1.31,0.0,1.18,0.02,0.66,4.17,5.43,0.23,0.09,0.35,99.45,99.1,381.0,4.23,108.0,9.83,1.48,-0.25,5.0,207.0,6.0,22.0,8.33,27.34,3.97,17.01,3.87,0.85,3.63,0.57,3.41,0.69,2.03,0.31,2.01,0.29,-2.5,-5.0,0.0,-4,10.0,47.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,2.82,0.0,0.0,-70.41667181584154,-25.19999833548954
113,QPA-4,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,357267.0,7212155.0,160.0,55.27,1.24,15.23,10.51,9.46,10.51,0.0,9.46,0.12,4.36,7.4,2.94,2.05,0.35,0.63,100.18,99.55,342.0,52.8,347.0,11.5,1.95,-0.25,8.0,230.0,6.0,31.0,17.87,43.34,5.98,26.22,6.15,1.39,5.95,0.88,5.19,1.06,3.02,0.43,2.77,0.43,25,28.0,0.0,23,34.0,297.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,5.71,0.0,0.0,-70.41667181584154,-25.19999833548954
114,QSR-1,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,360817.0,7193730.0,160.0,62.54,0.67,17.23,6.16,5.54,6.16,0.0,5.54,0.08,2.49,5.31,3.97,1.66,0.18,0.49,100.83,100.34,385.0,48.3,400.0,3.28,0.61,-0.25,6.0,153.0,5.0,23.0,16.19,34.64,4.3,17.17,3.71,1.04,3.71,0.55,3.62,0.72,2.11,0.3,1.99,0.31,15,40.0,0.0,-4,11.0,118.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,0.0,4.42,0.0,0.0,-70.38333079326628,-25.36667448174265
115,QSR-8,Lucassen et al 2006,Undefined plutonic rock,P,Jurassic pluton,Shallow Section Coastal Batholith,360817.0,7193730.0,160.0,58.19,0.89,18.99,3.31,2.98,3.31,0.0,2.98,0.16,4.0,8.34,4.45,0.51,0.01,0.65,99.44,98.79,630.0,17.1,137.0,2.45,0.26,-0.25,4.0,130.0,4.0,15.0,4.96,9.92,1.33,6.31,1.88,0.89,2.14,0.38,2.38,0.5,1.49,0.21,1.47,0.23,18,36.0,0.0,12,23.0,74.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,0.0,0.0,0.0,0.0,8.9,0.0,0.0,-70.38333079326628,-25.36667448174265
116,CBV-67,Parada et al 1999,Tonalite,P,Papudo-Quintero Complex,Quintero,265612.0,6351021.0,164.0,63.13,0.59,16.03,9.05,8.5,5.53,3.52,8.5,0.14,2.07,4.91,3.74,3.05,0.12,0.58,103.41,102.83,367.0,110,570.0,11.4,2.4,0,19.0,231.09,0.0,32.0,19.9,52.0,0,27.6,6.66,1.31,5.31,0,4.9,0.0,2.7,0.0,3.11,0.46,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.50745248101003,-32.95400567840407
117,CBV-69,Parada et al 1999,Leucogranite,P,Papudo-Quintero Complex,Quintero,265612.0,6351021.0,164.0,74.53,0.03,13.66,1.08,0.0,1.08,0.0,1.08,0.02,0.0,1.17,2.87,5.66,0.0,0.0,99.02,99.02,335.0,158,2000.0,0,0,0,7.0,131.7,0.0,4.0,24.3,42.1,0,11.0,1.6,0.53,0.92,0,0.48,0.0,0.34,0.0,0.58,0.12,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.50745248101003,-32.95400567840407
118,CBV-73,Parada et al 1999,Diorite,P,Papudo-Quintero Complex,Quintero,276869.0,6402092.0,164.0,51.16,0.94,18.78,9.17,0.0,9.17,0.0,9.17,0.18,4.05,8.9,3.71,1.52,0.33,0.0,98.74,98.74,601.0,31,478.0,0,0,0,12.0,180.04,0.0,24.0,20.5,47.6,0,25.7,5.77,1.55,4.54,0,3.8,0.0,2.0,0.0,2.06,0.29,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.37487796680878,-32.496063502436265
119,CBV-75,Parada et al 1999,Granodiorite,P,Papudo-Quintero Complex,Quintero,276269.0,6402092.0,164.0,68.04,0.35,14.81,3.97,0.0,3.97,0.0,3.97,0.08,1.04,2.83,3.46,4.14,0.11,0.0,98.83,98.83,169.0,129,544.0,19.3,1.8,0,8.0,190.11,0.0,23.0,20.9,40.3,0,20.6,4.77,0.92,3.52,0,3.38,0.0,1.96,0.0,2.36,0.34,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.38125927718768,-32.49594284383689
120,F2-5,Parada et al 1999,Undefined plutonic rock,P,Papudo-Quintero Complex,Quintero,265612.0,6351021.0,164.0,52.9,0.96,18.28,18.99,17.99,10.0,8.99,17.99,0.17,3.45,7.44,4.72,1.12,0.3,0.42,108.75,108.33,497.0,29,252.0,2.9,0.6,0,-2.5,150.0,0.0,22.0,19.4,39.3,0,22.1,5.17,1.54,4.31,0,3.96,0.0,1.89,0.0,2.07,0.29,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,-71.50745248101003,-32.95400567840407
121,F2-6,Parada et al 1999,Undefined plutonic rock,P,Papudo-Quintero Complex,Quintero,265612.0,6351021.0,164.0,52.37,0.86,18.42,17.45,16.53,9.19,8.26,16.53,0.2,4.09,7.08,4.62,1.62,0.3,0.95,107.96,107.01,324.0,119,171.0,6.7,1.8,0,-2.5,135.0,0.0,26.0,25.7,52.2,0,27.8,6.82,1.19,5.89,0,4.46,0.0,2.48,0.0,2.49,0.38,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,-71.50745248101003,-32.95400567840407
122,F2-9,Parada et al 1999,Tonalite,P,Papudo-Quintero Complex,Quintero,271634.0,6392101.0,164.0,65.64,0.43,15.66,9.02,8.54,4.75,4.27,8.54,0.08,1.41,4.08,3.75,3.06,0.13,0.72,103.98,103.26,367.0,100,552.0,15.4,2,0,-2.5,155.0,0.0,18.0,21.6,47.0,0,22.1,4.99,1.12,4.17,0,3.1,0.0,1.74,0.0,3.1,0.29,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,-71.43298199065416,-32.58504764972281
127,03_45,Vasquez et al 2011,Gabbro,P,Jurassic Pluton,Cerros del Hualve,214244.0,6006037.0,166.0,55.9,0.69,17.5,7.77,7.64,1.3,6.48,7.64,0.13,4.22,7.9,3.31,1.09,0.09,0.38,98.9,98.52,319.0,41,301.0,4,0.7,0.2,2.0,94.0,6.0,19.0,10.0,23.0,3.1,13.0,3.2,1.0,3.4,0.6,3.7,0.8,2.3,0.34,2.4,0.38,28,64.0,95.0,-10,28.0,209.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,9,0.0,0.0,-72.17200399074076,-36.048298252159235
128,04_45,Vasquez et al 2011,Quartz diorite,P,Jurassic Pluton,Cerros del Hualve,217277.0,6003747.0,166.0,61.7,0.82,16.8,6.51,6.34,1.69,4.82,6.34,0.08,2.61,6.52,4.7,0.47,0.18,0.61,101.1,100.49,-0.05,-0.1,177.0,-0.05,-0.03,-0.25,6.0,140.0,4.0,-0.25,-0.01,-0.01,-0.01,-0.05,-0.05,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.05,-0.05,-0.03,25,-15.0,54.0,7,-15.0,180.0,0.0,0.0,0,0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.05,21.0,0.0,0.0,0.0,-2.5,0.0,0.0,-72.13920170390523,-36.06979920898732
129,04_49,Vasquez et al 2011,Tonalite,P,Jurassic Pluton,Cerros del Hualve,210840.0,6008858.0,166.0,62.7,0.61,16.6,6.19,6.01,1.77,4.42,6.01,0.12,2.27,5.94,3.91,0.21,0.14,1.88,100.7,98.82,-0.05,-0.1,196.0,-0.05,-0.03,-0.25,6.0,156.0,4.0,-0.25,-0.01,-0.01,-0.01,-0.05,-0.05,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.05,-0.05,-0.03,14,54.0,39.0,5,-15.0,127.0,0.0,0.0,0,0,0.0,0.0,-0.5,0.0,0.0,0.0,-0.05,21.0,0.0,0.0,0.0,-2.5,0.0,0.0,-72.20870545857133,-36.02189916219764
130,04_50,Vasquez et al 2011,Gabbro,P,Jurassic Pluton,Cerros del Hualve,208506.0,6006337.0,166.0,54.8,1.06,16.7,9.45,9.29,1.58,7.88,9.29,0.15,4.37,8.11,2.68,1.43,0.21,1.99,101.2,99.21,288.0,47,390.0,5,1.3,0.4,6.0,166.0,5.0,26.0,20.0,44.0,5.6,24.0,5.4,1.3,5.3,0.9,4.7,0.9,2.9,0.4,2.8,0.4,28,78.0,36.0,11,39.0,255.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,5,0.0,0.0,-72.23549698485458,-36.04389643539594
131,CB19,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281.0,7345377.0,170.0,52.27,0.89,17.9,9.16,8.95,2.11,7.05,8.95,0.12,5.72,9.45,3.49,0.67,0.15,0.28,100.1,99.82,418.0,20,176.0,0.45,0.18,-0.25,5.0,31.98,1.11,20.0,6.39,14.69,2.11,9.04,2.15,0.78,2.21,0.33,2.04,0.42,1.17,0.17,1.05,0.15,-2.5,72.0,0.0,32,67.0,248.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,8.39,0.0,0.0,-70.00004617829835,-24.00031946673891
132,CB42,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281.0,7345377.0,170.0,54.08,0.84,18.1,8.61,8.41,1.99,6.62,8.41,0.14,4.86,8.63,3.7,0.95,0.17,0.29,100.37,100.08,418.0,17,229.0,1.63,0.53,-0.25,2.0,42.92,1.23,21.0,9.65,22.13,3,13.28,3.29,1.13,3.29,0.52,3.23,0.64,1.91,0.27,1.83,0.27,-2.5,74.0,0.0,41,97.0,191.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,5.03,0.0,0.0,-70.00004617829835,-24.00031946673891
133,CB46,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281.0,7345377.0,170.0,59.84,0.76,16.33,6.81,6.63,1.77,5.04,6.63,0.1,2.95,6.3,3.93,1.36,0.12,0.23,98.73,98.5,267.0,22,215.0,0.56,0.15,-0.25,4.0,51.31,1.34,22.0,8.48,20.31,2.85,12.24,3.07,0.93,3.6,0.56,3.6,0.75,2.21,0.34,2.14,0.34,-2.5,72.0,0.0,16,27.0,161.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,6.72,0.0,0.0,-70.00004617829835,-24.00031946673891
134,CB51,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281.0,7345377.0,170.0,55.5,0.81,18.11,8.63,8.43,1.99,6.64,8.43,0.16,4.2,8.36,3.79,0.5,0.13,0.14,100.33,100.19,401.0,0.5,158.0,0.1,0.05,-0.25,5.0,52.99,1.22,21.0,2.79,6.59,1.02,5.09,1.53,0.98,2.02,0.32,2.2,0.45,1.39,0.2,1.33,0.21,-2.5,77.0,0.0,10,38.0,189.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,2.16,0.0,0.0,-70.00004617829835,-24.00031946673891
135,CB70,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281.0,7345377.0,170.0,50.45,0.99,19.74,10.24,10.07,1.71,8.53,10.07,0.17,4.9,9.93,3.29,0.13,0.13,0.0,99.97,99.97,279.0,3,33.0,0.33,0.1,-0.25,-0.5,13.42,0.63,15.0,6.34,15.09,2.13,9.83,2.61,0.97,3.0,0.52,3.23,0.68,2.06,0.3,1.96,0.28,-2.5,86.0,0.0,13,32.0,271.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,2.92,0.0,0.0,-70.00004617829835,-24.00031946673891
136,CB76,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281.0,7345377.0,170.0,54.38,0.24,8.16,11.75,11.48,2.71,9.04,11.48,0.26,16.89,6.84,1.07,0.57,0.02,0.0,100.18,100.18,126.0,19,44.0,1.53,0.45,-0.25,3.0,47.89,1.41,20.0,3.91,9.89,1.47,6.39,1.85,0.35,2.28,0.4,2.67,0.6,1.92,0.29,2.03,0.32,-2.5,98.0,0.0,82,342.0,102.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,0.0,1.92,0.0,0.0,-70.00004617829835,-24.00031946673891
137,KU5,Lucassen et al 2002,Undefined plutonic rock,P,Jurassic pluton,Deep Section Coastal Batholith,398281.0,7345377.0,170.0,52.24,0.64,19.83,8.51,8.37,1.42,7.09,8.37,0.16,5.36,9.62,3.6,0.2,0.1,0.51,100.77,100.26,381.0,1,86.0,0.47,0.11,-0.25,1.0,47.58,1.13,9.0,3.33,7.41,1.02,4.65,1.32,0.91,1.5,0.24,1.6,0.34,1.02,0.14,1.03,0.16,-2.5,77.0,0.0,36,72.0,165.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.44,0.0,0.0,-70.00004617829835,-24.00031946673891
138,CBR-1A,Parada et al 1999,Tonalite,P,Papudo-Quintero Complex,Quintero,283954.0,6466830.0,170.0,62.75,0.7,15.68,5.91,0.0,5.91,0.0,5.91,0.08,2.24,5.09,3.52,2.83,0.2,0.0,99.0,99.0,17.1,67,459.0,19.5,3.2,0,5.0,381.0,0.0,33.0,32.2,65.0,0,32.5,7.36,1.42,6.05,0,5.62,0.0,2.88,0.0,3.06,0.43,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.28487980891725,-31.91389757913552
139,CBR-1E,Parada et al 1999,Undefined plutonic rock,P,Papudo-Quintero Complex,Quintero,283954.0,6466830.0,170.0,52.95,1.18,17.85,9.25,0.0,9.25,0.0,9.25,0.17,3.91,8.39,4.58,0.96,0.27,0.96,100.47,99.51,390.0,30,109.0,-2.5,0.6,0,5.0,152.0,0.0,26.0,19.5,39.7,0,22.0,5.33,1.72,4.82,0,4.53,0.0,2.13,0.0,2.34,0.32,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-71.28487980891725,-31.91389757913552
140,IQ-04-01,Mamani et al 2008,Diorite,P,Jurassic volcanic,Iquique,382308.0,7668248.0,174.1,64.1,0.61,15.9,1.39,1.35,0.4,0.99,1.35,0.11,2.0,4.29,3.62,3.29,0.15,0.0,99.44,99.44,322.0,127,545.0,0,0,0,10.0,273.0,0.0,29.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15,58.0,11.0,6,3.0,104.0,0.0,0.0,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,9,0.0,0.0,-70.13300143056402,-21.08299865421226
141,LAN_04_01,Mamani et al 2008,Gabbro,P,Jurassic volcanic,Antofagasta,371647.0,7509190.0,174.1,52.5,1.34,15.5,1.83,1.8,0.31,1.53,1.8,0.16,4.52,8.2,3.11,1.32,0.22,0.0,97.85,97.85,292.0,46,249.0,0,0,0,5.0,107.0,0.0,32.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,32,77.0,31.0,23,35.0,299.0,0.0,0.0,300,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,9,0.0,0.0,-70.24800156089456,-22.518997834569934
142,LAN_04_02,Mamani et al 2008,Gabbro,P,Jurassic volcanic,Antofagasta,386020.0,7555137.0,174.1,55.3,0.93,16.2,2.08,2.05,0.35,1.73,2.05,0.11,4.16,7.57,3.21,1.5,0.14,0.0,98.14,98.14,325.0,55,265.0,0,0,0,3.0,113.0,0.0,24.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36,53.0,25.0,18,35.0,287.0,0.0,0.0,198,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,12,0.0,0.0,-70.10500024236899,-22.105002769480556
143,CB11,Lucassen et al 2002,Gabbro,P,Jurassic pluton,Deep Section Coastal Batholith,398281.0,7345377.0,180.0,46.99,0.42,12.52,7.05,6.93,1.18,5.88,6.93,0.12,12.57,18.4,0.35,0.01,0.02,0.42,98.87,98.45,121.0,0.3,42.0,0.21,0.07,-0.25,-0.5,31.29,0.9,11.0,0.86,2.36,0.41,2.17,0.78,0.31,1.13,0.18,1.17,0.23,0.64,0.09,0.5,0.08,93,31.0,0.0,60,382.0,235.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.57,0.0,0.0,-70.00004617829835,-24.00031946673891
144,CB3,Lucassen et al 2002,Gabbro,P,Jurassic pluton,Deep Section Coastal Batholith,398281.0,7345377.0,180.0,42.91,0.67,23.29,10.11,9.94,1.69,8.43,9.94,0.1,6.62,13.96,0.92,0.14,0.02,1.63,100.37,98.74,387.0,1,38.0,0.27,0.06,-0.25,2.0,26.14,0.71,10.0,1.25,2.75,0.38,1.66,0.44,0.21,0.45,0.07,0.45,0.09,0.25,0.03,0.2,0.03,29,39.0,0.0,19,37.0,453.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.5,0.0,0.0,-70.00004617829835,-24.00031946673891
