,Sample,Reference,Rock type,P o V,Unit or Location,Group or Location,UTM East,UTM North,age,sio2,tio2,al2o3,fe2o3_tot,feo_tot,fe2o3,feo,FeO Frost,mno,mgo,cao,na2o,k2o,p2o5,LOI,Total,Total Anhidrous (%),sr_ppm,rb_ppm,ba_ppm,th_ppm,u_ppm,ta_ppm,nb_ppm,zr_ppm,hf_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,sc_ppm,zn_ppm,co_ppm,ni_ppm,cr_ppm,v_ppm,se_ppm,Br,cu_ppm,as_ppm,Be,Sb,Sn,W,Bi,Cd,Cs,ga_ppm,ge_ppm,in_ppm,mo_ppm,pb_ppm,ag_ppm,Tl,Longitude,Latitude
145,CB32,Lucassen et al 2002,Gabbro,P,Jurassic pluton,Deep Section Coastal Batholith,398281.0,7345377.0,180.0,45.76,0.41,23.61,7.38,7.26,1.23,6.15,7.26,0.08,6.7,15.13,1.43,0.06,0.01,0.89,101.46,100.57,312.0,0.3,31.0,0.04,0.02,-0.25,3.0,7.29,0.29,8.0,0.59,1.35,0.21,1.11,0.32,0.22,0.44,0.07,0.48,0.09,0.27,0.03,0.21,0.03,-2.5,38.0,0.0,36,132.0,244.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.58,0.0,0.0,-70.00004617829835,-24.00031946673891
146,CB33,Lucassen et al 2002,Gabbro,P,Jurassic pluton,Deep Section Coastal Batholith,398281.0,7345377.0,180.0,46.45,0.32,26.63,3.49,3.43,0.58,2.91,3.43,0.05,4.09,18.19,1.22,0.05,0.01,1.05,101.55,100.5,455.0,0,27.0,-0.05,-0.03,-0.25,2.0,-0.25,-0.5,11.0,0.85,2.22,-0.01,2.1,0.74,0.39,0.86,-0.03,1.19,-0.03,0.7,-0.05,0.59,0.08,-2.5,20.0,0.0,21,443.0,135.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,0.0,0.0,-70.00004617829835,-24.00031946673891
147,CV05,Oliveros 2002,Quartz monzonite,P,La Negra Formation,0,392133.0,7489160.0,180.0,62.03,1.07,14.83,6.95,6.67,2.77,4.18,6.67,0.1,1.65,4.09,4.01,3.79,0.26,0.99,99.77,98.78,184.0,0,410.0,25,0,0,16.0,407.0,13.7,49.0,28.0,70.0,0,40.0,9.16,1.62,9.62,0,9.0,1.9,4.98,0.0,5.0,0.75,19,60.0,14.0,6,7.0,104.0,0.0,0.0,230,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.05021269401456,-22.70133675260058
148,CV12,Oliveros 2002,Monzonite,P,La Negra Formation,0,385731.0,7485656.0,180.0,54.01,1.34,16.83,9.95,9.3,6.52,3.43,9.3,0.2,2.9,6.5,4.16,2.42,0.34,1.13,99.78,98.65,300.0,0,320.0,12,0,0,7.0,211.0,7.9,38.0,20.0,45.0,0,26.0,6.6,1.56,7.05,0,7.01,1.47,3.98,0.0,3.95,0.59,24,350.0,17.0,4,7.0,230.0,0.0,0.0,255,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.11279081154363,-22.732563853895304
150,86-2-1,Pichowiak 1994,Gabbro,P,Coloso Coastal Gabbro Complex,0,347038.0,7362492.0,183.1,50.33,0.41,17.39,8.64,8.45,1.91,6.73,8.45,0.13,8.87,11.53,1.71,0.37,0.11,1.49,98.98,97.49,317.0,16,77.0,0,0,0,3.0,72.0,0.0,14.0,4.4,11.65,0,5.9,1.8,0.5,1.7,0,1.9,0.0,1.1,0.0,1.2,0.2,0,36.0,0.0,98,203.0,118.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.50193878803837,-23.841670953180635
151,86-2-4,Pichowiak 1994,Gabbro,P,Coloso Coastal Gabbro Complex,0,347038.0,7362492.0,183.1,45.84,1.36,17.24,12.71,12.42,2.86,9.85,12.42,0.2,5.81,12.22,1.95,0.56,0.07,0.6,98.56,97.96,320.0,14,145.0,0,0,0,2.0,65.0,0.0,14.8,3.68,12.3,0,6.1,1.98,1.0,2.0,0,2.1,0.0,1.2,0.0,1.2,0.2,0,69.0,0.0,30,80.0,502.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.50193878803837,-23.841670953180635
152,86-2-5,Pichowiak 1994,Gabbro,P,Coloso Coastal Gabbro Complex,0,347038.0,7362492.0,183.1,54.11,1.06,18.43,8.81,8.55,2.56,6.25,8.55,0.19,3.71,8.5,3.65,0.79,0.09,0.64,99.98,99.34,396.0,7,228.0,0,0,0,3.0,88.0,0.0,20.0,6.1,17.3,0,8.7,2.8,1.1,2.4,0,2.7,0.0,1.6,0.0,1.8,0.3,0,76.0,0.0,15,60.0,289.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.50193878803837,-23.841670953180635
153,86-2-6,Pichowiak 1994,Gabbro,P,Coloso Coastal Gabbro Complex,0,347038.0,7362492.0,183.1,52.26,0.77,16.84,9.42,9.14,2.77,6.65,9.14,0.17,5.56,9.85,3.18,0.75,0.13,0.33,99.26,98.93,303.0,22,183.0,0,0,0,4.0,160.0,0.0,17.0,4.72,15.46,0,6.93,1.85,0.59,1.76,0,1.93,0.0,1.2,0.0,1.4,0.2,0,63.0,0.0,20,151.0,207.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.50193878803837,-23.841670953180635
154,86-2-7,Pichowiak 1994,Gabbro,P,Coloso Coastal Gabbro Complex,0,347038.0,7362492.0,183.1,57.97,0.97,16.55,7.9,7.65,2.47,5.43,7.65,0.11,2.41,5.43,4.09,2.12,0.26,0.6,98.41,97.81,254.0,67,330.0,0,0,0,24.0,237.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,35.0,0.0,34,120.0,130.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.50193878803837,-23.841670953180635
155,ln4,Pichowiak 1994,Diabase,P,La Negra Formation,0,347423.0,7326348.0,183.1,51.86,1.76,15.56,10.63,10.3,3.25,7.38,10.3,0.35,4.02,6.7,4.2,2.65,0.45,1.3,99.48,98.18,283.0,65.5,522.0,5.5,0,0,8.0,227.0,0.0,49.0,19.05,44.9,0,26.83,6.75,1.84,6.47,0,6.53,0.0,4.0,0.0,3.42,0.49,30,0.0,22.0,13,45.0,355.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.5019440394726,-24.168058159628202
156,ST-158q,Salazar et al 2013,Andesite (dike),P,Lautaro Formation,0,380900.0,6819390.0,183.8,48.25,1.04,15.04,7.74,7.54,2.01,5.73,7.54,0.08,11.53,6.79,3.37,1.86,0.49,3.48,99.67,96.19,2120.0,27,870.0,3.21,0.77,0.61,9.0,106.0,3.69,0.0,38.21,87.33,11.33,46.94,8.26,2.52,5.85,0.75,3.73,0.76,2.03,0.27,1.69,0.26,2,111.0,5.0,92,169.0,238.0,0.0,0.0,80,0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,19,0.0,0.0,-70.21978969446863,-28.747399793234905
157,ST-178q,Salazar et al 2013,Andesite (dike),P,Lautaro Formation,0,376551.0,6797279.0,183.8,51.05,0.56,15.4,6.01,5.85,1.56,4.45,5.85,0.09,3.62,8.79,2.81,2.67,0.26,8.5,99.74,91.24,470.0,56,776.0,5.54,1.61,0.88,12.0,126.0,4.0,0.0,34.85,70.98,8.27,32.28,5.95,1.92,4.78,0.69,3.68,0.77,2.13,0.3,1.92,0.31,5,60.0,11.0,11,13.0,135.0,0.0,0.0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,0.0,0.0,0.0,14,0.0,0.0,-70.26673762836091,-28.94651941781144
158,OI  -24q,Creixell et al 2012,Granodiorite,P,Quebrada La Vaca Tonalite,0,264784.0,6769290.0,185.0,65.68,0.6,15.65,4.0,3.88,1.14,2.86,3.88,0.05,3.64,4.11,3.48,1.38,0.12,0.82,99.52,98.7,314.9,31.4,177.3,1.01,1.09,0.25,-2.5,97.2,2.5,7.06,10.3,20.73,2.24,9.0,1.82,0.65,1.62,0.25,1.47,0.3,0.82,0.12,0.79,0.12,-2.5,41.98,-2.5,-2.5,11.79,48.33,0.0,0.0,278.79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-5,0.0,0.0,-71.41884993712043,-29.183247123465392
159,FL-16-11,Rodriguez et al 2019,Quartz diorite,P,Flamenco Pluton,Coastal Range batholith,336000.0,7070000.0,188.6,55.72,0.75,17.76,4.04,3.94,1.05,2.99,3.94,0.16,4.32,8.26,2.69,0.71,0.1,1.11,99.06,97.95,160.0,32.3,196.0,3.6,0,0,3.6,0.0,-5.0,21.2,9.2,19.4,2.5,12.0,2.8,1.0,3.4,0.6,3.6,0.9,2.7,0.4,2.3,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.64534842148699,-26.480968293516064
160,FL-16-2,Rodriguez et al 2019,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,348000.0,7061000.0,188.7,67.38,0.5,15.01,3.98,3.87,1.14,2.84,3.87,0.06,1.71,3.49,3.16,3.82,0.13,1.2,100.5,99.3,286.0,186,487.0,16.5,0,0,8.4,0.0,-5.0,28.7,26.4,59.6,8,30.3,5.6,1.2,5.4,0.8,4.5,1.0,2.8,0.4,2.5,0.43,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.52606655288562,-26.563538730517994
161,CI -16q,Creixell et al 2012,Granodiorite,P,Quebrada La Vaca Tonalite,0,264643.0,6777591.0,189.2,56.69,1.21,16.35,7.3,7.09,2.09,5.21,7.09,0.12,5.77,5.86,2.76,2.87,0.22,0.45,99.6,99.15,311.3,49.15,382.3,1.98,2.2,0.65,9.11,159.9,3.65,20.54,22.0,47.1,5.47,22.59,4.77,1.28,4.35,0.66,4.09,0.88,2.45,0.35,2.32,0.35,-2.5,38.81,8.18,-2.5,38.54,175.3,0.0,0.0,7.34,0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,-5,0.0,0.0,-71.41854414189321,-29.10836503715477
162,86-2-8,Pichowiak 1994,Gabro (dikes and stocks),P,Caleta Coloso stocks,0,347084.0,7364160.0,190.0,43.78,0.63,22.19,9.29,9.08,2.13,7.16,9.08,0.14,6.49,14.16,1.24,0.18,0.0,0.98,99.08,98.1,320.0,16,66.0,0,0,0,0.0,33.0,0.0,5.49,1.69,5.25,0,2.1,0.78,0.44,0.7,0,0.78,0.0,0.47,0.0,0.46,0.06,0,52.0,0.0,0,79.0,374.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.50131382223684,-23.826614369661055
163,87-0-1,Pichowiak 1994,Undefined plutonic rock,P,Hornitos composite stock,0,369354.0,7519578.0,190.0,50.12,1.6,18.48,8.43,8.12,3.1,5.33,8.12,0.15,4.8,9.86,2.82,1.01,0.41,1.4,99.08,97.68,330.0,35,204.0,5,0,0,5.0,59.0,0.0,22.77,12.81,30.5,0,17.14,4.15,1.35,4.28,0,3.78,0.0,1.97,0.0,1.68,0.32,36.09,51.0,64.0,23,46.0,618.0,0.0,0.0,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,-70.26943733275588,-22.425001011907856
164,87-0-2,Pichowiak 1994,Undefined plutonic rock,P,Hornitos composite stock,0,369354.0,7519578.0,190.0,51.87,1.41,16.92,8.41,8.12,2.91,5.5,8.12,0.16,5.57,7.34,3.55,1.83,0.3,1.42,98.78,97.36,255.0,71,168.0,5,0,0,5.0,143.0,0.0,32.58,11.26,30.53,0,18.54,4.8,1.64,5.16,0,5.15,0.0,2.84,0.0,2.62,0.45,24.5,67.0,73.0,72,148.0,162.0,0.0,0.0,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,-70.26943733275588,-22.425001011907856
165,87-1-1,Pichowiak 1994,Gabbro,P,Hornitos composite stock,0,369354.0,7519578.0,190.0,47.47,0.97,14.88,9.78,9.53,2.47,7.31,9.53,0.16,10.91,11.08,2.27,0.44,0.22,0.68,98.86,98.18,436.0,5,109.0,5,0,0,5.0,53.0,0.0,20.45,7.99,21.97,0,15.11,3.96,1.13,3.96,0,3.45,0.0,1.89,0.0,1.6,0.28,40.9,67.0,82.0,215,621.0,290.0,0.0,0.0,133,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,-70.26943733275588,-22.425001011907856
166,87-1-3,Pichowiak 1994,Gabbro,P,Hornitos composite stock,0,369354.0,7519578.0,190.0,44.95,1.26,18.17,12.26,11.98,2.76,9.5,11.98,0.2,6.86,12.38,1.87,0.22,0.34,0.73,99.24,98.51,500.0,3,77.0,5,0,0,5.0,30.0,0.0,23.27,7.41,20.79,0,14.72,4.06,1.17,4.47,0,3.88,0.0,2.17,0.0,1.71,0.33,43.79,83.0,66.0,36,73.0,431.0,0.0,0.0,137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0,0.0,0.0,-70.26943733275588,-22.425001011907856
167,87-1-4,Pichowiak 1994,Gabbro,P,Hornitos composite stock,0,369354.0,7519578.0,190.0,44.45,0.25,28.66,4.16,3.98,1.75,2.41,3.98,0.05,3.25,15.91,1.48,0.02,0.11,1.2,99.54,98.34,542.0,2,36.0,5,0,0,5.0,7.0,0.0,3.57,2.07,4.01,0,2.45,0.63,0.38,0.69,0,0.64,0.0,0.45,0.0,0.28,0.05,16.6,23.0,54.0,25,21.0,119.0,0.0,0.0,188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0,0.0,0.0,-70.26943733275588,-22.425001011907856
168,OI - 64q,Creixell et al 2012,Tonalite,P,Quebrada La Vaca Tonalite,0,277767.0,6786097.0,190.4,56.25,1.05,15.97,7.71,7.49,2.2,5.51,7.49,0.12,6.57,6.44,2.5,2.39,0.19,0.4,99.59,99.19,286.2,44.79,286.0,2.04,1.99,0.85,9.27,118.9,3.24,20.7,22.17,46.31,5.39,22.28,4.75,1.11,4.36,0.67,4.13,0.87,2.45,0.34,2.24,0.34,-2.5,34.07,8.96,-2.5,50.81,196.2,0.0,0.0,56.48,0,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,0.0,0.0,0.0,12.81,0.0,0.0,-71.2820807190227,-29.034016204227573
169,FL-16-1,Rodriguez et al 2019,Gabbro,P,Flamenco Pluton,Coastal Range batholith,347500.0,7063000.0,191.0,47.8,1.31,22.5,8.87,8.72,1.48,7.39,8.72,0.15,3.59,11.16,2.9,0.38,0.37,1.59,100.7,99.11,430.0,14.2,151.0,1.2,0,0,5.7,0.0,-5.0,18.7,16.6,35.2,4.6,21.7,4.4,1.8,4.5,0.7,3.5,0.8,2.1,0.3,1.4,0.27,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.53084524240177,-26.54543302335124
170,FL-16-13,Rodriguez et al 2019,Gabbro,P,Flamenco Pluton,Coastal Range batholith,337000.0,7068000.0,191.0,47.98,0.91,19.82,3.83,3.77,0.64,3.19,3.77,0.2,6.2,10.37,2.16,0.18,0.12,1.55,98.86,97.31,204.0,12.3,103.0,-0.05,0,0,3.0,0.0,-5.0,17.7,5.5,11.9,1.6,7.3,1.8,0.9,2.2,0.4,2.7,0.6,1.8,0.2,1.8,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.63557457127969,-26.499134645498597
171,OI - 30q,Creixell et al 2012,Tonalite,P,Quebrada La Vaca Tonalite,0,266625.0,6780594.0,191.2,54.33,1.09,16.62,8.05,7.82,2.3,5.75,7.82,0.13,6.76,7.25,2.69,2.17,0.2,0.31,99.6,99.29,281.4,37.48,244.9,1.85,1.7,0.81,8.43,79.89,2.36,21.85,20.02,44.25,5.25,22.16,4.94,1.17,4.66,0.73,4.61,1.0,2.81,0.4,2.61,0.39,-2.5,39.0,9.76,-2.5,39.7,185.2,0.0,0.0,156.43,0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,-5,0.0,0.0,-71.3975639628517,-29.081649956634234
172,CI -25q,Creixell et al 2012,Granodiorite,P,Quebrada La Vaca Tonalite,0,269193.0,6773579.0,191.3,61.86,0.73,15.8,5.04,4.9,1.44,3.6,4.9,0.08,4.28,4.68,3.5,3.04,0.2,0.3,99.51,99.21,345.6,56.42,504.0,2.46,2.28,0.92,9.65,177.2,4.06,20.27,29.96,62.78,7.17,28.13,5.59,1.35,4.85,0.71,4.35,0.92,2.59,0.38,2.54,0.39,-2.5,28.03,-2.5,-2.5,50.19,107.9,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,2.03,0.0,0.0,0.0,0.0,-5,0.0,0.0,-71.37265241377405,-29.145380301862616
173,OI - 54q,Creixell et al 2012,Granodiorite,P,Quebrada La Vaca Tonalite,0,274069.0,6783411.0,191.4,62.03,0.82,15.64,5.38,5.22,1.54,3.84,5.22,0.09,4.03,4.41,3.62,3.04,0.18,0.31,99.53,99.22,258.4,60.23,413.9,2.43,1.22,0.79,9.81,177.4,4.31,21.99,22.99,49.77,5.88,24.08,5.2,1.14,4.76,0.72,4.54,0.97,2.7,0.38,2.49,0.37,-2.5,31.57,5.2,-2.5,21.15,108.5,0.0,0.0,6.01,0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,11.62,0.0,0.0,-71.32057176140896,-29.05758943910942
174,FL-16-12,Rodriguez et al 2019,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,336000.0,7068000.0,191.7,65.17,0.67,15.16,2.95,2.87,0.84,2.11,2.87,0.11,2.06,4.62,3.39,2.35,0.13,0.75,99.36,98.61,147.0,78.7,328.0,5.2,0,0,5.4,0.0,-5.0,36.1,15.7,35.2,4.6,18.8,4.5,1.1,4.9,0.9,5.4,1.2,3.6,0.5,3.4,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.64560546087289,-26.49901930464812
175,FL-16-7,Rodriguez et al 2019,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,334000.0,7063500.0,191.7,66.92,0.47,16.15,4.33,4.21,1.24,3.09,4.21,0.07,1.74,4.11,4.34,1.57,0.13,0.58,100.4,99.82,361.0,41.2,341.0,3.5,0,0,5.2,0.0,-5.0,15.2,16.0,32.9,4.1,16.2,2.8,0.9,2.8,0.4,2.2,0.5,1.6,0.2,1.4,0.25,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.66625333780416,-26.53940069723236
179,CI -11q,Creixell et al 2012,Monzodiorite,P,Quebrada La Vaca Tonalite,0,269514.0,6778427.0,192.7,56.77,0.87,15.83,8.06,7.85,2.09,5.97,7.85,0.15,5.52,5.79,2.32,2.12,0.23,1.97,99.62,97.65,749.4,32.92,462.7,1.58,1.32,0.49,7.78,134.1,2.91,19.67,29.56,60.88,6.82,26.57,4.86,1.41,4.34,0.64,4.04,0.86,2.38,0.34,2.23,0.33,-2.5,34.34,9.34,-2.5,6.99,145.8,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,0.0,-5,0.0,0.0,-71.36835245907308,-29.10171912588888
180,OI - 43q,Creixell et al 2012,Tonalite,P,Quebrada La Vaca Tonalite,0,269514.0,6778427.0,192.7,52.62,2.05,13.6,17.04,16.55,4.87,12.17,16.55,0.26,2.98,7.69,1.94,0.43,0.94,-0.01,99.55,99.55,286.6,14.98,187.5,1.07,1.83,1.18,12.63,630.2,12.21,53.54,23.99,58.45,7.83,36.88,9.6,3.46,10.26,1.66,10.56,2.31,6.32,0.89,5.89,0.94,-2.5,60.35,23.11,-2.5,19.67,112.4,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,-5,0.0,0.0,-71.36835245907308,-29.10171912588888
181,OI - 54aq,Creixell et al 2012,Tonalite,P,Quebrada La Vaca Tonalite,0,269514.0,6778427.0,192.7,49.79,1.11,16.47,11.8,11.46,3.37,8.43,11.46,0.29,6.37,7.5,3.05,1.92,0.34,0.96,99.6,98.64,152.36,11.42,506.57,-0.05,-0.03,-0.25,-2.5,98.7,-0.5,-5.0,-0.01,-0.01,-0.01,-0.05,-0.05,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.05,-0.05,-0.03,28.9,78.4,38.16,7,43.29,196.76,0.0,0.0,243.22,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,4.73,0.0,0.0,-71.36835245907308,-29.10171912588888
182,OI - 54bq,Creixell et al 2012,Tonalite,P,Quebrada La Vaca Tonalite,0,269514.0,6778427.0,192.7,52.77,0.87,16.48,9.51,9.24,2.72,6.79,9.24,0.27,5.7,7.4,3.24,2.53,0.18,0.73,99.68,98.95,161.15,13.66,349.91,-0.05,-0.03,-0.25,-2.5,91.01,-0.5,-5.0,-0.01,-0.01,-0.01,-0.05,-0.05,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.05,-0.05,-0.03,21.77,74.56,31.13,5,51.17,124.67,0.0,0.0,47.79,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,-2.5,0.0,0.0,-71.36835245907308,-29.10171912588888
183,OI  -55q,Creixell et al 2012,Tonalite,P,Quebrada La Vaca Tonalite,0,269514.0,6778427.0,192.7,68.19,0.62,14.04,2.86,2.78,0.82,2.04,2.78,0.05,3.03,3.25,3.18,3.39,0.14,0.83,99.56,98.73,318.3,60.3,542.2,4.37,3.12,1.1,9.47,136.9,3.43,10.23,31.7,55.82,5.34,18.45,2.96,0.8,2.46,0.32,1.88,0.39,1.1,0.17,1.19,0.19,-2.5,7.35,-2.5,-2.5,15.85,47.05,0.0,0.0,-2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.0,0.0,10.56,0.0,0.0,-71.36835245907308,-29.10171912588888
184,NM-1,Rodriguez et al 2016,Tonalite,P,Flamenco Pluton,Coastal Range batholith,335527.0,7070655.0,193.5,59.59,0.73,15.78,8.53,8.33,2.01,6.52,8.33,0.14,3.46,6.43,2.74,1.44,0.12,2.23,99.18,96.95,188.0,58,168.0,0,0,0,0.0,0.0,0.0,28.0,1.37,7.2,0,0.0,1.48,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.35,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.65000790093946,-26.475001832420084
185,NM-2,Rodriguez et al 2016,Granodiorite,P,Flamenco Pluton,Coastal Range batholith,336367.0,7069988.0,193.5,65.75,0.56,16.05,5.72,5.53,1.86,3.86,5.53,0.06,2.42,4.43,3.92,1.54,0.17,0.73,99.49,98.76,379.0,48,0.0,0,0,0,0.0,0.0,0.0,17.0,2.77,11.0,0,0.0,0.83,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.22,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.64166920449074,-26.481118978542174
186,NM-3,Rodriguez et al 2016,Quartz diorite,P,Flamenco Pluton,Coastal Range batholith,337193.0,7070368.0,193.5,55.72,0.75,17.76,11.52,11.12,4.04,7.48,11.12,0.16,4.32,8.26,2.69,0.71,0.1,1.11,99.06,97.95,192.0,30,2.0,0,0,0,0.0,0.0,0.0,23.0,1.48,2.84,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.43,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,-70.63333650496224,-26.477784294870194
