Sample,Longitude,Latitude,Lithology,Geologica Unit,Reference,Reported U-Pb Age (Ma),Error (Ma),age,sio2,al2o3,fe2o3,mno,mgo,cao,na2o,k2o,tio2,p2o5,LOI ,Total ,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,pb_ppm ,th_ppm,u_ppm,LaN,SmN,YbN,LaN/YbN,LaN/SmN,Rb/Sr
AG12,-75.6018,6.3313,Granitoid,Ovejas Intrusive,Duque-Trujillo et al. (2019),75.5,1,76,66.7,16.2,4.1,0.1,1.5,3.7,4.1,1.9,0.5,0.1,0.4,99.3,,,,,8.8,1.8,739.3,8.1,15.2,2.1,8.5,1.9,0.9,1.9,0.3,1.6,0.3,0.9,,0.9,0.2,3.8,0.7,6.3,4,1.1,34.3,12.8,5.6,6.1,2.7,
AG13,-75.5987,6.3317,Granitoid,Ovejas Intrusive,Duque-Trujillo et al. (2019),76.9,2.5,77,65.7,17,4.3,0.1,1.5,4,4.2,1.9,0.5,0.1,0.3,99.5,,,,,9.4,2.1,675.6,9.1,16.2,2.1,8.4,1.9,0.9,1.9,0.3,1.7,0.3,1,,1,0.2,3.2,0.7,6.9,3.7,1.4,38.2,12.8,6.2,6.2,3,
AG14,-75.5971,6.3253,Granitoid,Ovejas Intrusive,Duque-Trujillo et al. (2019),74.3,1.9,74,62,17,5.9,0.1,2.3,5.2,3.7,1.8,0.7,0.2,0.4,99.3,,,,,7.1,1.7,666,19.2,32.5,4.2,15.1,3.1,1.1,3.1,0.5,2.8,0.6,1.6,,1.6,0.3,2.6,0.7,6.2,6,1.2,81.1,20.8,9.9,8.2,3.9,
AG14B,-75.5971,6.3253,Granitoid,Ovejas Intrusive,Duque-Trujillo et al. (2019),,,75,52.3,17.9,10.3,0.2,4.2,6.2,3.6,2.7,1.2,0.2,0.5,99.2,,,,,11.4,2.7,810.1,17.7,40.5,5.8,24.7,5.8,1.3,6,1,5.5,1.1,3.3,,3.3,0.5,3.1,0.8,6.7,5,0.9,74.6,39.3,20.4,3.7,1.9,
BSM 01B,-73.9696,11.3336,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),,,51,63,16.6,5.1,0.1,2.2,5.8,3.6,1.7,0.6,0.2,0.9,99.8,53.3,540.8,18.2,113.5,5.9,1.5,800,33.4,64.5,7.2,23.7,4.2,1,3.1,0.6,2.8,0.6,1.9,0.3,1.8,0.3,3.1,0.4,,10.4,0.8,140.9,28.4,11.1,12.7,5,0.1
BSM 105A,-74.0985,11.2068,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),55,1,55,62.2,17.6,4.6,0.1,2.4,5.9,3.9,1.1,0.5,0.2,1,99.5,27.9,609.6,13.4,122.5,4.7,1.1,850,14.4,27,3.4,13.1,2.7,0.9,2.5,0.4,2.3,0.5,1.3,,1.3,0.2,2.9,0.2,4.8,2.1,0.6,60.9,18.2,8,7.7,3.4,0.05
BSM 111,-73.9071,11.2858,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),,,54,59.4,17.6,6.6,0.1,3,6.7,3.6,1,0.7,0.2,0.7,99.5,23.5,537.2,21.4,88,5.9,0.6,622,38.3,69.1,7.7,26.5,4.6,1.2,4,0.6,3.6,0.7,2.1,,2.1,0.3,2.2,0.3,5.5,9.1,0.4,161.6,30.9,12.9,12.6,5.2,0.04
BSM 12E,-74.0974,11.2702,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),55.5,0.3,56,60.1,18.1,4.8,0.1,2.8,6.6,4.3,1.4,0.6,0.2,0.5,99.4,35.4,832.7,13.7,112.4,4.3,0.9,1058,11.6,23.8,3.4,14.5,3.1,1.1,2.8,0.4,2.4,0.5,1.3,,1.3,0.2,2.8,0.2,5.6,1.3,1,49.1,20.9,8.1,6.1,2.4,0.04
BSM 13,-73.8737,11.2815,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),,,50,59.7,17.8,6,0.1,2.7,7,3.9,0.9,0.7,0.2,0.8,99.8,16.2,600.8,21.5,157.5,5.1,0.6,501,4.9,12.8,2.5,13.1,3.7,1.1,3.8,0.6,3.7,0.8,2.1,,2.1,0.3,3.8,0.3,7.2,0.3,0.6,20.8,24.9,12.7,1.6,0.8,0.03
BSM 15,-73.8938,11.2929,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),,,50,59.6,17.8,6.5,0.1,2.9,7.2,3.8,0.7,0.6,0.2,0.5,99.9,16.9,640.7,22.1,95.7,4.2,0.4,453,17.4,41.1,5.3,22.1,4.6,1.4,3.9,0.7,4.1,0.8,2.2,0.4,2,0.3,2.7,0.2,,2.8,0.5,73.4,31.3,12.4,5.9,2.3,0.03
BSM 21A,-73.9564,11.2817,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),,,52,61.4,17.2,5.7,0.1,2.4,6,3.4,1.8,0.6,0.2,0.9,99.8,61.1,521.6,19.8,143.8,5.2,1.5,711,9.6,23,3.4,13.7,3.5,1,3.1,0.6,3.4,0.7,1.9,0.3,1.9,0.3,3.8,0.4,,2.8,1.5,40.5,23.3,12,3.4,1.7,0.12
BSM 22,-73.9895,11.2869,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),,,52,64.3,17.1,4,0.1,1.6,5.3,3.8,1.5,0.5,0.2,1.5,99.7,46.6,557.8,14.4,160.1,6.3,1,728,25.6,49.1,5.6,21,3.5,1,2.8,0.5,2.4,0.5,1.4,0.2,1.3,0.2,4.1,0.4,,6.7,1.7,108,23.6,8.1,13.3,4.6,0.08
BSM 23,-74.026,11.2831,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),,,56,66.8,16.3,3.2,0.1,1.3,4.3,3.7,2.4,0.4,0.1,1,99.7,59.2,509.3,10.6,123.9,6,1.2,1185,25.1,48.4,5.5,18.5,2.9,0.8,1.8,0.3,1.7,0.3,1,0.2,1.1,0.2,3.2,0.4,,8.7,1.3,105.9,19.6,6.8,15.5,5.4,0.12
BSM 25A,-74.0657,11.2737,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),,,56,61,15.3,7.3,0.2,3.3,5.4,3.3,2.2,0.7,0.2,1,99.9,70.9,377.9,23.2,119.2,8.7,1.3,653,18.3,38.9,5.3,19.3,4.5,1,4,0.7,3.6,0.8,2.3,0.4,2.3,0.4,4.2,0.6,,8.1,2.6,77.2,30.5,14.5,5.3,2.5,0.19
BSM 27A,-74.0746,10.795,Granitoid,Santa Marta - Paleogene Intrusives,Cardona et al. (2011),,,57,50.1,20.1,8.2,0.2,4.7,9.7,4.4,0.4,0.8,0.3,0.9,99.7,1.9,1145.5,22.1,147.6,3.4,,448.1,19,42,6.1,27.5,5.2,1.6,4.5,0.7,3.7,0.7,2.1,0.3,1.9,0.3,3.9,0.2,0.2,0.4,0.2,80.2,35.1,11.6,6.9,2.3,0
BSM 29,-74.0684,10.8022,Granitoid,Santa Marta - Paleogene Intrusives,Cardona et al. (2011),,,57,49.2,20.7,8.7,0.2,4.4,9.8,4.3,0.3,0.8,0.3,0.9,99.7,1.5,1056.6,25.4,158,3.6,,285,17.4,39.9,5.9,26,5.5,1.6,4.9,0.8,4,0.9,2.5,0.4,2.4,0.4,4,0.1,0.3,0.4,0.1,73.4,37.4,14.9,4.9,2,0
BSM 30,-74.0628,10.8078,Granitoid,Santa Marta - Paleogene Intrusives,Cardona et al. (2011),,,57,43.2,15.1,11.6,0.1,12.8,1.3,2.4,0.5,1.4,0,1.5,99.9,2.3,274,17.3,21.3,0.5,,198.9,1.8,6.1,1.1,6,2.5,0.8,3,0.6,3,0.6,1.7,0.3,1.4,0.2,0.9,,0.3,0.3,,7.6,16.9,8.4,0.9,0.4,0.01
BSM 35A,-74.2302,11.166,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),,,55,66.6,16.1,3.5,0.1,2.3,4.4,3.8,2.3,0.5,0.2,0.7,100.3,80.2,572.9,13.1,121.8,5.8,2.2,1255,31,53.7,6.1,18.9,3.1,0.8,2.4,0.4,2.1,0.4,1.1,0.2,1.3,0.2,3.7,0.6,,14,2.5,130.8,20.6,7.8,16.7,6.3,0.14
BSM 45B,-74.1254,11.1424,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),58.1,0.9,58,62.4,16.7,4.7,0.1,2.6,6,3.9,1.4,0.6,0.2,1,99.4,30,545.9,14.9,108.3,4.9,0.6,910,29.5,46.6,5.5,19.5,3.4,1,3,0.5,2.6,0.5,1.5,,1.4,0.2,2.7,0.2,5.4,8.9,0.5,124.3,23.2,8.8,14.1,5.3,0.05
BSM 49,-74.0334,11.2863,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),,,56,64.9,14.2,4.5,0.1,2.1,4.8,3.5,2.3,0.5,0.2,1,98,62.8,454.8,20,125.7,8,1.4,953,24.4,47.4,5.7,21.4,4.2,1,3.2,0.6,3,0.6,1.8,0.3,1.9,0.3,3.4,0.7,,9.8,2.8,103,28.3,12,8.5,3.6,0.14
BSM 60,-74.178,11.1741,Granitoid,Santa Marta Batholith,Duque (2009) in Leal-Mejía et al. (2019),55.3,0.6,55,60.4,17.5,5.4,0.1,2.7,6.6,4,1.3,0.6,0.2,0.5,99.3,25.5,607.6,23.7,116.4,6,1.1,690,17.5,33.2,4.9,20,4.6,1.1,4.3,0.7,4.1,0.8,2.3,,2.3,0.3,3.1,0.3,6.2,1.6,0.6,73.8,30.9,14.1,5.2,2.4,0.04
CAS-12-05,-73.8331,11.1736,Granitoid,Santa Marta - Paleogene Intrusives,Cardona et al. (2011),,,51,74.6,15.3,0.7,0,0.2,2.6,4.9,1,0.1,0,0.5,99.8,15.3,593.8,9.4,31.4,4,,1390,7.3,14.4,1.7,7.2,1.3,0.7,1.3,0.3,1.6,0.3,1,0.1,1.1,0.2,1.2,0.3,0.9,2.4,0.9,30.8,8.6,6.8,4.5,3.6,0.03
CAS-12-07,-73.8331,11.1732,Granitoid,Santa Marta - Paleogene Intrusives,Cardona et al. (2011),,,51,63.5,17,4.4,0.1,1.6,5.5,4,2.4,0.4,0.2,0.6,99.7,51.8,748.2,15.1,134.4,4.3,,1693,25.7,44.8,5.4,20.6,3.2,1,2.7,0.4,2.4,0.5,1.6,0.2,1.7,0.3,4,0.3,0.6,7.9,2.1,108.4,21.8,10.2,10.6,5,0.07
CAS-12-16,-73.7254,11.1691,Granitoid,Santa Marta - Paleogene Intrusives,Cardona et al. (2011),,,51,64.1,15.3,5.8,0.1,2.2,3.7,3.8,2.5,0.8,0.2,1,99.7,58.2,474,36.6,337.5,11.8,,1355,57,115,14.6,58.3,9.5,1.3,7.9,1.2,6.3,1.3,3.6,0.5,3.2,0.5,9.6,0.6,0.9,10.5,1.3,240.5,63.9,20.1,12,3.8,0.12
CAS-12-23L,-74.062,11.2678,Granitoid,Santa Marta - Paleogene Intrusives,Cardona et al. (2011),,,53,60.3,18.4,4.7,0.1,2.8,6.5,4.4,1.3,0.6,0.2,0.4,99.7,40,891.5,16.7,169.6,4.9,,1187,16.1,32.5,4.6,20.5,4,1.2,3.5,0.5,2.9,0.6,1.6,0.3,1.6,0.3,5,0.3,0.6,1.7,0.9,67.9,27.3,9.9,6.9,2.5,0.04
CB1,-75.1406,4.7373,Granodiorite,El Bosque Batholith,Bustamante et al. (2017) in Leal-Mejía et al. (2019),55.1,2.1,55,68.5,16.5,2.7,0.1,1.1,3.5,3.4,2.5,0.4,0.1,1.3,99.9,86.6,377,13.3,132,7.6,5,1004,40.8,71.6,8.7,31.4,5.5,1.2,4.5,0.6,2.5,0.4,1.1,0.1,1,0.1,3.9,0.7,1.8,11.2,1.6,172.2,36.9,6,28.6,4.7,0.23
CB2,-75.1409,4.7285,Granodiorite,El Bosque Batholith,Bustamante et al. (2017) in Leal-Mejía et al. (2019),,,54,68,16.5,2.8,0,1,3,3.3,2.2,0.4,0.1,2,97,92.8,305,9,134,6.5,9.1,894,25.6,46.4,5.8,21.4,4.2,1.2,3.2,0.4,2.1,0.3,0.8,0.1,0.7,0.1,3.7,0.6,14.6,7.5,2.7,108,28.3,4,26.8,3.8,0.3
CH10,-74.9898,5.1489,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),55,0.7,55,65.8,16.6,3.8,0.1,2.1,4.9,4,1.5,0.5,0.2,0.4,99.4,38.1,551,11.5,120,4.4,1.8,683,22.6,43.2,5.2,19.4,3.7,1.1,3,0.4,2.4,0.4,1.1,0.2,1.1,0.2,3.3,0.4,7.3,4.6,1.5,95.4,24.7,6.5,14.6,3.9,0.07
CH12,-74.9917,5.1671,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),,,53,65.8,16.9,3.9,0.1,1.9,4.9,4.1,1.5,0.5,0.2,0.6,99.4,42.9,600,14.4,127,5.1,1.8,683,22,43.3,5.4,21,4.2,1.2,3.6,0.5,2.9,0.5,1.4,0.2,1.3,0.2,3.4,0.4,9.3,5.2,2.8,92.8,28.3,7.8,12,3.3,0.07
CH14,-75.0017,5.1684,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),,,53,65.9,16.8,3.9,0.1,1.9,4.7,4,1.5,0.5,0.2,0.7,99,46.9,567,14.8,134,5.1,2.6,813,20.2,40.3,5.1,20.3,4.3,1.3,3.5,0.5,3.1,0.6,1.5,0.2,1.4,0.2,3.7,0.5,9.6,5.2,2.7,85.2,29,8.6,9.9,2.9,0.08
CH15,-74.9895,5.1859,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),,,53,65.9,16.7,3.6,0.1,1.8,4.5,4.1,1.6,0.5,0.2,0.7,98.6,43.1,558,13.4,132,5,1.8,766,24.3,47.3,5.7,22,4.1,1.2,3.3,0.5,2.7,0.5,1.4,0.2,1.3,0.2,3.7,0.5,8.1,7.2,2.3,102.5,27.6,7.9,13,3.7,0.08
CH19,-74.9992,5.2735,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),53.7,2.6,54,67.2,16.8,3.4,0.1,1.8,4.3,4.2,1.7,0.5,0.2,0.6,100.5,48.6,648,11.7,130,4.9,2.3,833,25.3,50.4,5.7,21.7,4.1,1.1,3.3,0.4,2.3,0.4,1,0.1,0.9,0.1,3,0.3,25.2,5.4,2.5,106.8,27.8,5.3,20,3.8,0.08
CH2,-75.0023,5.198,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),,,53,66.4,16.6,3.9,0.1,1.9,4.5,4,1.5,0.5,0.2,1.4,99.2,44.2,571,16.6,135,5.3,2.1,711,27.6,52.1,6.5,25,4.9,1.4,4,0.6,3.4,0.6,1.6,0.2,1.4,0.2,3.7,0.5,8.9,6.1,2,116.5,32.8,8.9,13,3.5,0.08
CH20,-75.0068,5.2771,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),,,54,67.2,16.6,3.4,0.1,2,4.5,4.3,1.6,0.5,0.2,0.7,101,47,590,10.7,117,4.1,1.6,720,16.9,32.6,4.1,19.6,3.4,0.9,2.7,0.4,2.1,0.4,1,0.2,0.9,0.1,3.2,0.3,0.6,3.6,1.6,71.3,22.6,5.5,13,3.2,0.08
CH21B,-75.0038,5.2968,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),53.6,1.7,54,67.2,15.9,3.2,0.1,1.9,4,4.2,1.7,0.4,0.1,1.1,99.6,43.4,569,14.7,102,5.8,3.1,696,22.4,45.2,5.2,20.2,4.1,1,3.4,0.5,2.7,0.6,1.5,0.2,1.5,0.2,2.8,0.4,0.6,7.5,2,94.5,27.5,9.1,10.4,3.4,0.08
CH5,-74.9938,5.2196,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),53.8,0.3,54,65.3,16.9,3.9,0.1,2.2,5,4.1,1.5,0.6,0.2,0.6,99.9,38,626,13.2,138,4.2,2,768,19.5,38.5,4.8,16.4,3.6,1.1,3.1,0.4,2.9,0.5,1.3,0.2,1.2,0.2,3.4,0.3,0.6,4.2,1.8,82.3,24,7.6,10.9,3.4,0.06
CH6A,-74.9956,5.2073,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),,,54,65.8,17.1,3.9,0.1,2,4.7,4.2,1.4,0.5,0.2,0.8,99.5,38.5,576,12.9,131,4.8,1.9,632,19.4,38.3,4.9,19,3.8,1.2,3.2,0.5,2.6,0.5,1.3,0.2,1.2,0.2,3.4,0.3,8.4,4.3,1.5,81.9,25.9,7.2,11.4,3.2,0.07
CH8,-74.9913,5.1765,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),53.2,1.3,53,65.3,17.3,4.1,0.1,2.1,4.9,4.2,1.8,0.6,0.2,0.5,100.5,49.2,579,15.4,137,7,2.3,758,17,34.2,4.5,18.5,4.2,1.3,3.6,0.5,3,0.6,1.5,0.2,1.4,0.2,3.7,0.6,9.5,4.9,2.1,71.7,28.2,8.4,8.6,2.5,0.08
CH9,-74.9838,5.171,Granodiorite,El Hatillo Stock,Bustamante et al. (2017) in Leal-Mejía et al. (2019),,,53,66.3,16.7,3.9,0.1,2,4.6,3.9,1.7,0.5,0.2,0.7,99.5,59.8,551,14,116,5.2,2.7,745,19.2,38.4,4.8,18.7,4,1.2,3.4,0.5,2.8,0.5,1.4,0.2,1.2,0.2,3.1,0.4,8.9,4.8,2.4,81,27.3,7.6,10.6,3,0.11
DV156,-75.3001,5.754,Granite,Sonsón Batholith,Villagómez et al. (2011) in Leal-Mejía et al. (2019),,,54,68.3,14.8,3.8,0.1,1.9,3.6,3.4,3,0.4,0.1,0.5,99.9,109.8,268,19.5,133,6,5.7,744,28.7,54.8,5.9,21.6,4.1,0.7,3.6,0.6,3.1,0.6,1.8,0.3,1.8,0.3,3.8,0.6,10.6,14,4.2,121.1,27.6,11.2,10.8,4.4,0.41
