Sample,Longitude,Latitude,Lithology,Geologica Unit,Reference,Reported U-Pb Age (Ma),Error (Ma),age,sio2,al2o3,fe2o3,mno,mgo,cao,na2o,k2o,tio2,p2o5,LOI ,Total ,rb_ppm,sr_ppm,y_ppm,zr_ppm,nb_ppm,cs_ppm,ba_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,hf_ppm,ta_ppm,pb_ppm ,th_ppm,u_ppm,LaN,SmN,YbN,LaN/YbN,LaN/SmN,Rb/Sr
KD-WR-216,-75.1999,5.6645,Felsite,Sonsón Batholith,Leal-Mejía (2011) in Leal-Mejía et al. (2019),55.8,1,56,74.4,13.1,1.2,0,0.4,1.1,3.2,4.4,0.1,0,0.8,98.6,161,105,24.7,86,7.5,5.2,621,16.6,35.6,4.1,15.1,3.5,0.4,3.5,0.6,3.5,0.8,2.3,0.4,2.7,0.4,3.8,1.5,13,21.3,12.1,70,23.9,16.7,4.2,2.9,1.53
KD-WR-217,-75.1408,5.716,Gabbrodiorite,"Dike Cuts Felsite, Sonsón Batholith",Leal-Mejía (2011) in Leal-Mejía et al. (2019),,,56,62,16.7,5.3,0.1,3.4,5.9,3.6,2,0.7,0.2,0.9,100.3,57,510,14.4,133,4.8,3.1,657,18.9,39.5,4.7,16.7,3.8,1.2,3.2,0.5,2.6,0.5,1.4,0.2,1.4,0.2,3.7,0.3,16,3.8,1.6,79.7,25.6,8.5,9.4,3.1,0.11
KD-WR-218*,-75.1939,5.6585,Felsite,Sonsón Batholith,Leal-Mejía (2011) in Leal-Mejía et al. (2019),60,0.9,60,75.9,12.9,0.9,0,0.1,0.8,3.5,4.7,0.1,0,0.5,99.2,173,39,24.4,57,6.8,2.6,188,10.4,24.3,3,13.2,3.6,0.3,3.4,0.6,3.6,0.7,2.2,0.4,2.5,0.4,3.2,1.3,16,24.2,16.1,43.9,24.1,15.8,2.8,1.8,4.44
KD-WR-221,-74.878,6.5086,Tonalite,Antioquian Batholith,Leal-Mejía (2011) in Leal-Mejía et al. (2019),87.4,1.3,87,59.3,15.5,7.6,0.1,4.7,7.2,2.8,1.5,0.7,0.2,0.5,99.7,44,313,18.7,130,5.6,2,401,15.7,31.3,3.8,15.8,3.6,0.8,3.2,0.6,3.3,0.7,1.9,0.3,2.1,0.3,3.6,0.5,< 5,2.4,1,66.2,24.1,13.2,5,2.8,0.14
KD-WR-222,-74.9143,5.2127,Tonalite,Mariquita Stock,Leal-Mejía (2011) in Leal-Mejía et al. (2019),93.5,1.4,94,71.3,14.3,2.7,0.1,0.8,2.7,3.9,2.7,0.4,0.1,0.3,98.9,106,108,34.1,153,6.6,5.1,528,14.4,27.7,3.3,13.5,3.5,0.7,4,0.8,5,1.1,2.9,0.5,3,0.4,3.7,0.7,6,4.7,3.4,60.8,23.6,18.5,3.3,2.6,0.98
KD-WR-23*,-75.6946,5.2927,Plg-Porphyry,Porphyry Fragment in Miraflores Breccia,Leal-Mejía (2011) in Leal-Mejía et al. (2019),72.6,2,73,63.5,13.7,3.6,0.1,3,4,3.4,3.5,0.3,0.4,3.6,98.7,73,1241,8,120,5,1,3297,21.2,40.7,5,20,4.2,1.2,3.1,0.4,1.6,0.3,0.7,0.1,0.6,0.1,3.7,0.4,28,8.6,8.3,89.5,28.4,3.7,24,3.2,0.06
KD-WR-236,-75.6946,5.2721,Monzonite,Irra Stock,Leal-Mejía (2011) in Leal-Mejía et al. (2019),69.6,1.1,70,60.3,19.2,4.6,0.1,0.6,3.1,5,5.4,0.5,0.2,0.8,99.4,83,2801,19.2,275,8.2,1.1,4798,48.7,90.7,11.1,42.3,7.7,1.9,4.9,0.7,3.6,0.7,1.9,0.3,1.8,0.3,6.4,0.7,40,11.3,5.1,205.5,52,11.2,18.3,3.9,0.03
KD-WR-305*,-75.4598,6.8246,Tonalite,Antioquian Batholith,Leal-Mejía (2011) in Leal-Mejía et al. (2019),73.9,1.3,74,70.1,16.7,1.6,0.1,0.3,0.2,0.6,3.8,0.1,0.1,4.8,98.2,100,43,10.2,79,7.8,3.3,1017,15.8,27.2,3.4,11.2,2.1,0.3,1.7,0.3,1.9,0.4,1.2,0.2,1.5,0.3,2.5,1,23,6,2.7,66.7,14.3,9.3,7.2,4.7,2.33
KD-WR-38,-74.9197,6.4829,Diorite Porphyry,Dike Cuts Antioquian Batholith,Leal-Mejía (2011) in Leal-Mejía et al. (2019),,,74,65.2,16.6,3.8,0.1,1.9,4.1,5,1.7,0.6,0.2,0.9,100,21,868,12.1,120,2.6,0.5,908,16.3,33,4.4,16.9,3.5,1.1,3,0.5,2.3,0.4,1.2,0.2,1.1,0.2,3.2,0.2,10,4,1.5,68.8,23.3,7.1,9.7,3,0.02
KD-WR-39,-75.1127,4.8964,Granodiorite,El Bosque Batholith,Leal-Mejía (2011) in Leal-Mejía et al. (2019),,,55,66,17.1,3.3,0,1.6,3.9,4,2.8,0.5,0.2,0.5,100,100,398,4.7,164,4.3,3.5,943,32,60.3,7,23.3,3.9,1.1,2.8,0.3,1,0.2,0.4,0.1,0.4,0.1,4.1,0.2,21,11.3,2.2,135,26.4,2.5,53,5.1,0.25
KD-WR-44,-75.0991,6.4849,Qtz-Bt-Porphyry,Dike Cuts Antioquian Batholith,Leal-Mejía (2011) in Leal-Mejía et al. (2019),59.9,0.9,60,71.6,14.6,2.1,0,0.6,2.6,4.2,2.9,0.2,0.1,0.6,99.2,75,361,9.4,84,4.5,1.4,893,23.8,42.5,4.7,14.5,2.4,0.6,1.9,0.3,1.6,0.3,0.9,0.2,1.1,0.2,2.5,0.6,15,12.3,3.1,100.4,16.4,6.6,15.3,6.1,0.21
KD-WR-78,-75.3837,5.0408,Granodiorite,Manizales Stock,Leal-Mejía (2011) in Leal-Mejía et al. (2019),,,55,65.2,16.3,4.5,0.1,1.9,4.7,3.4,2.1,0.5,0.2,0.8,99.5,69,611,15.8,114,7.4,3.1,1055,22.8,46.1,5,18.6,3.9,1,3,0.5,2.6,0.5,1.6,0.2,1.6,0.3,3.2,0.7,12,8.2,2.3,96.2,26.1,10,9.6,3.7,0.11
KD-WR-88,-75.4238,6.6032,Diorite,Antioquian Batholith,Leal-Mejía (2011) in Leal-Mejía et al. (2019),,,84,59.6,16.1,6.8,0.1,3.6,6.6,2.9,2,0.6,0.2,0.7,99.2,65,349,22.8,151,4.9,2.7,736,15.6,35.1,4.3,17.4,4.3,1.2,3.9,0.7,4,0.8,2.4,0.4,2.5,0.4,4.2,0.4,8,4.8,1.4,65.8,29.3,15.3,4.3,2.2,0.19
KD-WR-89,-75.3577,6.4456,Granodiorite,Antioquian Batholith,Leal-Mejía (2011) in Leal-Mejía et al. (2019),,,75,69.2,16.4,2.4,0.1,0.7,3.6,4.9,1.5,0.3,0.1,0.5,99.6,33,656,8.5,106,4.1,0.8,845,12.4,25.7,2.9,10.7,2.2,0.7,1.8,0.3,1.4,0.3,0.7,0.1,0.8,0.1,2.9,0.4,11,2.8,0.9,52.3,14.9,4.8,10.8,3.5,0.05
KD-WR-90*,-75.4374,6.6921,Diorite,Antioquian Batholith,Leal-Mejía (2011) in Leal-Mejía et al. (2019),,,74,55.4,16.1,8.3,0.1,3.3,6.9,2.8,1,1,0.2,4.8,99.9,30,441,38.3,251,5.8,1.1,323,14,35.3,4.9,21.9,5.9,1.3,6,1.1,6.4,1.3,3.8,0.6,3.9,0.6,6.6,0.4,19,3.9,1.4,59.1,39.8,24.3,2.4,1.5,0.07
KD-WR-91,-75.4374,6.6921,Gabbro,Antioquian Batholith,Leal-Mejía (2011) in Leal-Mejía et al. (2019),,,74,49.5,20.2,10.6,0.2,4.6,9.9,3,0.1,1,0.4,0.1,99.5,2,584,14,79,3.6,0.2,134,8.7,20.2,2.7,12.2,3,1.5,2.9,0.5,2.6,0.5,1.5,0.2,1.4,0.2,1.7,0.2,< 5,0.2,0.1,36.9,20.4,8.7,4.2,1.8,0
MP-1,-74.7006,7.0644,Andesite Porphyry Dike,Dike Cuts Segovia Batholith,Álvarez (2013) in Leal-Mejía et al. (2019),,,86,60.3,16.9,4.4,0.1,3,5.7,4,1.8,0.8,0.2,2.5,99.8,67.7,869.9,15.4,124.5,4.6,3.9,388,18.3,37.9,5.2,22.9,4.1,1.2,3.5,0.5,2.9,0.5,1.5,0.2,1.4,0.2,3.9,0.3,2,3.5,1.3,77.2,27.9,8.4,9.1,2.8,0.08
MSD1,-75.375,6.6144,Tonalite,Antioquian Batholith,Almeida & Villamizar (2012),,,84,65.9,17.2,3.5,0,1.2,3.6,2.8,2.8,0.4,0.1,2.3,99.7,61,330.7,11,140,0.7,,1746,11.3,21.9,2.6,9.8,2.1,1,2,0.3,1.7,0.4,1.2,0.2,1.3,0.2,4.1,0.4,,5.5,1.9,47.7,13.9,8.1,5.9,3.4,0.18
MSD2,-75.3775,6.6264,Tonalite,Antioquian Batholith,Almeida & Villamizar (2012),,,84,58.1,16.7,7.2,0.1,3.7,3.6,2.4,2,0.7,0.2,2.3,99.8,61,330.7,11,140.4,6.7,,692,11.3,38.9,2.6,9.8,2.1,1.1,4.9,0.3,4.7,0.4,3,0.2,1.3,0.2,5.9,0.4,,5.5,1.9,47.7,13.9,8.1,5.9,3.4,0.18
MSD3,-75.3864,6.6354,Tonalite,Antioquian Batholith,Almeida & Villamizar (2012),,,84,56.9,16.6,7.1,0.1,3.7,3.6,1.2,2,0.7,0.1,7.7,99.8,87.5,133.1,23,146,7.2,,"<0,1",20.5,37.7,5.3,21,4.2,0.9,3.9,0.7,4.2,0.9,2.7,0.4,2.9,0.5,4.6,0.5,,10.3,1.6,86.5,28.5,18.3,4.7,3,0.66
MSD4,-75.3653,6.6132,Tonalite,Antioquian Batholith,Almeida & Villamizar (2012),,,84,52.1,14.5,9.2,0.2,4.7,6.5,1.4,2.1,0.8,0.2,7.7,99.9,66.2,110.8,21.5,188.7,8,,270,15.7,32.4,4.1,16.8,4,0.8,3.8,0.7,3.8,0.8,2.4,0.4,2.5,0.4,5.7,0.3,,2.4,1.1,66.2,27,15.5,4.3,2.5,0.6
MSD6,-75.4132,6.6265,Quartzdiorite,Antioquian Batholith,Almeida & Villamizar (2012),,,84,52.4,18.4,9.1,0.1,3.6,3.6,1.7,0.7,1,0.4,8.8,99.6,13.2,248.5,38.4,173.4,6.1,,319,23.1,50.3,8.1,31.5,8,1.5,7.1,1.3,7.8,1.6,4.5,0.7,4.7,0.6,6,0.5,,3.4,1.2,97.5,54.3,29.1,3.3,1.8,0.05
MSD8,-75.3967,6.6228,Dacite,Antioquian Batholith,Almeida & Villamizar (2012),,,84,69.8,16.7,2.5,0,1,0.3,3.8,2.6,0.3,0.1,2.8,99.9,62.2,296.2,6,128.7,2.4,,835,12.8,23.4,3,10,2.2,0.6,1.6,0.3,1.2,0.2,0.8,0.1,0.8,0.1,3.4,0.2,,3.2,2,54,14.5,4.8,11.1,3.7,0.21
MSD9,-75.4091,6.6207,Granodiorite,Antioquian Batholith,Almeida & Villamizar (2012),,,84,63.5,16,6.2,0.1,2.2,4.9,2.9,2.3,0.6,0.1,1.1,99.8,81.3,226.6,25.2,151.4,5.4,,678,25.4,49.3,5.4,20.9,4.2,0.9,4.2,0.8,4.5,1,2.8,0.5,2.9,0.4,4.5,0.4,,11.3,2.4,107.2,28.2,18.2,5.9,3.8,0.36
PRO-2,-74.6957,7.0685,Andesite Porphyry Dike,Dike Cuts Segovia Batholith,Álvarez (2013) in Leal-Mejía et al. (2019),,,86,60.6,17.3,4.1,0.1,3,5.1,4.1,1.6,0.7,0.2,3.1,99.8,55.5,785,14.2,116.4,4.5,5.3,382,17.2,36.9,4.8,20.3,3.7,1.1,3.2,0.5,2.4,0.5,1.3,0.2,1.4,0.2,3.5,0.3,1,2.9,1,72.6,25.2,8.6,8.4,2.9,0.07
Rancheria-2*,-72.8794,11.5671,Granite,La Guajira Granitoid,Cardona et al. (2009) in Leal-Mejía et al. (2019),70.3,1,70,73.1,12.6,3.8,,1.3,3,2.5,2.2,0.4,0.1,0.8,99.7,91,209,16,177.6,6.4,,822,31.4,58.8,7.7,30.4,4.7,0.8,3.5,0.5,2.7,0.5,1.6,0.3,1.9,0.3,5.1,0.6,,12.6,4.2,132.5,31.6,11.7,11.3,4.2,0.44
SIL-12,-74.7099,7.0877,Dike,Dike Cuts Segovia Batholith,Álvarez (2013) in Leal-Mejía et al. (2019),,,86,51.4,17,7,0.1,6.4,7.2,4.5,1.7,1.1,0.3,2.9,99.7,51.8,430.2,21.3,158.7,8.4,0.8,572,25.1,52.3,6.6,26.1,5,1.5,4.6,0.7,4.1,0.8,2.2,0.3,2,0.3,4,0.5,1.9,7.4,1.8,105.9,33.4,12.4,8.5,3.2,0.12
SIL-22,-74.7079,7.0871,Dike,Dike Cuts Segovia Batholith,Álvarez (2013) in Leal-Mejía et al. (2019),,,86,57.1,15.9,5.4,0.1,6.2,3.4,4.7,2.8,0.8,0.2,3.2,99.8,92.8,189.8,14.2,111.8,3.4,2.2,190,10.4,23.9,3.3,14,2.8,0.8,2.8,0.4,2.7,0.5,1.4,0.2,1.3,0.2,2.9,0.5,0.4,1.6,0.5,43.9,19.2,8.3,5.3,2.3,0.49
SIL-25,-74.7099,7.085,Andesite Dike,Dike Cuts Segovia Batholith,Álvarez (2013) in Leal-Mejía et al. (2019),,,86,53.5,15.2,6.1,0.3,9.2,7.7,2.6,2.3,0.7,0.2,1.8,99.7,96.6,226.4,14.7,95.5,3.3,2.5,179,10.9,25.4,3.6,16,3.2,1,3.1,0.5,2.7,0.5,1.5,0.2,1.4,0.2,2.5,0.4,1,1.7,0.7,46,21.5,8.4,5.5,2.1,0.43
SIL-3*,-74.7068,7.0949,Latite,Dike Cuts Segovia Batholith,Álvarez (2013) in Leal-Mejía et al. (2019),,,86,57,16.8,8.2,0.2,4.6,2.4,4.8,3,1.1,0.7,1.1,99.8,72.9,207,53,355.4,13.6,1.6,67,14.6,42.8,6.4,28.5,7.1,1.9,8.6,1.5,9.2,1.9,5.3,0.8,5.4,0.8,8.4,1.1,0.4,2,0.9,61.6,48.2,33.2,1.9,1.3,0.35
SR-001,-75.18,6.86,Quartzdiorite - Granodiorite,Antioquian Batholith,Restrepo-Moreno (2009) in Leal-Mejía et al. (2019),75,0.7,75,64.5,16,3,0.1,1.1,3.8,3.5,2.3,0.3,0.1,1.9,96.6,58.5,233.5,7.3,42.6,4.5,0.1,755.5,10.7,19.6,2.2,8.4,1.6,0.8,1.5,0.2,1.2,0.3,0.7,0.1,0.7,0.1,1.5,1,6.1,5.2,1.4,45.1,10.7,4.2,10.8,4.2,0.25
SR-003,-75.12,6.76,Quartzdiorite - Granodiorite,Antioquian Batholith,Restrepo-Moreno (2009) in Leal-Mejía et al. (2019),77,0.8,77,64.8,15.5,5,0.1,2.1,5.1,3.4,2.3,0.5,0.1,0.3,99.2,93.2,259.3,19.9,24.2,9.6,2.9,597.9,9.1,22.1,3.1,13.5,3.3,0.8,3.2,0.5,3.1,0.7,2,0.3,2,0.3,1.1,5,6.8,5.7,1.2,38.5,22,12.2,3.1,1.8,0.36
SR-24*,-75.6,6.39,Diorite,Ovejas Intrusive,Restrepo-Moreno (2009) in Leal-Mejía et al. (2019),72,0.7,72,61,19.2,5.3,0.2,1.1,0,0,1.6,0.7,0.1,10.4,99.8,23.9,-4.5,7.6,16.7,6.6,1.3,361.2,3.4,7.9,1.2,5.5,1.5,0.6,1.7,0.3,2,0.4,1.4,0.2,1.5,0.2,0.9,0.9,11.3,1.8,1,14.2,9.9,9.3,1.5,1.4,-5.29
SR-41,-75.59,6.36,Diorite,Antioquian Batholith,Restrepo-Moreno (2009) in Leal-Mejía et al. (2019),71,0.6,71,62.4,16,6.8,0.1,2.6,5.8,3,2.1,0.7,0.2,0.7,100.3,88.7,224.3,30,21.5,10.8,4.2,484.4,7.4,20.4,3.3,16,4.3,1,4.5,0.8,4.7,1,2.9,0.5,3,0.5,1.1,5.3,6.9,1.6,2.9,31,28.7,18.5,1.7,1.1,0.4
SR-42,-75.58,6.34,Quartzdiorite - Granodiorite,Ovejas Intrusive,Restrepo-Moreno (2009) in Leal-Mejía et al. (2019),77,0.8,77,68.8,15.7,3.5,0.1,1,3.6,3.6,1.3,0.5,0.2,2.2,100.4,45.8,250.7,5.4,7.7,5.9,1.8,353.8,10.7,19.7,2.2,8,1.3,0.7,1.2,0.2,0.9,0.2,0.5,0.1,0.5,0.1,0.3,1.5,7.5,1.3,0.8,45.2,9.1,3.2,14.3,5,0.18
SR-9,-75.37,6.46,Quartzdiorite - Granodiorite,Antioquian Batholith,Restrepo-Moreno (2009) in Leal-Mejía et al. (2019),75,0.6,75,67.1,16.6,4.1,0.1,1.4,4.3,3.8,1.9,0.4,0.2,1,100.7,47.5,312.7,11,32,11.6,1.2,742,8.5,17.2,2.1,8.8,1.9,0.8,1.9,0.3,1.8,0.4,1.1,0.2,1.2,0.2,1,6.7,8.7,2.7,1.4,35.7,12.9,7.1,5,2.8,0.15
Yn-013,-75.7711,6.5298,Monzonite,Late Cretaceous Intrusive,Jaramillo et al. (2017),70.1,0.3,70,52.1,17.6,7.1,0.2,2.9,6.4,4,2.8,0.7,0.5,5.5,99.7,49.9,1012.7,10.5,56.8,1.7,1.1,900,15.9,35.7,4.8,19.4,4,1.1,3.1,0.4,2.1,0.3,1.1,0.2,1.1,0.2,1.7,0.1,,3.1,1,67.1,27.2,6.6,10.1,2.5,0.05
Yn-014,-75.7844,6.6029,Monzonite,Late Cretaceous Intrusive,Jaramillo et al. (2017),,,73,52.2,18.2,7.9,0.2,3.5,7.7,3.7,2.8,0.8,0.5,2.1,99.5,50,1418.1,11.7,64.3,5.3,0.8,1286,18.9,37,5.1,19.7,4.2,1.3,3.3,0.4,2.2,0.4,1,0.2,1,0.2,2.3,0.3,,8.3,2.2,79.7,28.3,6.1,13,2.8,0.04
Yn-015,-75.7837,6.6048,Monzonite,Late Cretaceous Intrusive,Jaramillo et al. (2017),,,73,75.8,13.2,0.9,0,0.1,1.1,3.7,4.8,0.1,0.3,0.3,99.8,100.7,383.4,3.2,67,0.2,0.4,750,7,10.3,0.9,2.4,0.5,0.1,0.4,0.1,0.3,0.1,0.3,0,0.4,0.1,2,<0.1,,4.3,1.1,29.5,3.5,2.7,11.1,8.4,0.26
Yn-016,-75.7836,6.601,Monzonite,Late Cretaceous Intrusive,Jaramillo et al. (2017),,,73,60,17.1,5.7,0.1,2.1,5.2,4.3,3.4,0.7,0.1,0.9,99.6,69.4,1146.5,10.3,123.3,1.9,0.9,1245,23.1,40.9,5.2,20.6,3.7,1.1,2.9,0.4,2,0.3,1.1,0.1,1.1,0.2,3.7,0.2,,6.8,1.7,97.5,24.9,6.9,14.1,3.9,0.06
Yn-017,-75.7845,6.5942,Monzonite,Late Cretaceous Intrusive,Jaramillo et al. (2017),,,73,69.1,16.1,2.1,0.1,0.5,2.7,4.5,3.5,0.2,0.6,0.8,99.6,67.7,855,4.1,68.3,3.2,0.5,2072,9.4,14.3,1.7,6,1.1,0.5,0.9,0.1,0.6,0.2,0.4,0.1,0.5,0.1,2.6,0.2,,2.2,0.7,39.7,7.6,3.1,12.8,5.2,0.08
Yn-018,-75.7954,6.6411,Monzonite,Late Cretaceous Intrusive,Jaramillo et al. (2017),,,73,48.6,19.9,8.5,0.2,3.6,7.9,4.4,1.4,0.8,,3.6,99.6,25.4,1443.4,14.6,39.5,3.6,1.1,859,20.8,40.7,5.7,26.5,5.3,1.8,4.3,0.5,2.5,0.6,1.3,0.2,1.2,0.2,1.6,0.3,,1.9,0.7,87.8,35.6,7.5,11.7,2.5,0.02
