,run,sample number,unit,drillhole name,from (m),to (m),easting,northing,age,uncertainty (ma),column1,sio2,al2o3,fe2o3,mgo,cao,na2o,k2o,tio2,p2o5,mno,cr2o3,ba_ppm,sc_ppm,sum,cs_ppm,ga_ppm,hf_ppm,nb_ppm,rb_ppm,sn_ppm,sr_ppm,ta_ppm,th_ppm,u_ppm,v_ppm,w_ppm,zr_ppm,y_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,sm_ppm,eu_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,mo_%,cu_%,pb_%,zn_%,ag_grt,ni_ppm,loi_%,totc_%,tots_%,mo_ppm,cu_ppm,pb_ppm,zn_ppm,ag_ppb,ni_ppm2,co_ppm,mn_ppm,as_ppm,au_ppb,cd_ppm,sb_ppm,bi_ppm,cr_ppm,b_ppm,tl_ppm,hg_ppb,se_ppm,te_ppm,ge_ppm,in_ppm,re_ppb,be_ppm,li_ppm,pd_ppb,pt_ppb,zrc sat t (â„ƒ),longitude,latitude
0,,Qu-008,Quellaveco Granodiorite,,,,328420.0,8108526.0,60.0,1.49,,71.02,16.73,0.62,0.33,1.66,5.4,1.98,0.38,0.05,0.01,0.001,505,4,99.83,0.5,14.2,3.0,4.3,52.2,2,548.5,0.2,3.7,1.7,25,7.7,108.6,4.6,23.6,41.7,4.13,13.7,1.8,0.58,1.23,0.21,0.89,0.16,0.44,0.06,0.37,0.06,,,,,,,1.6,0.02,0.02,5.31,77.84,2.97,8.3,2048,1.1,0.4,32,0.1,2,0.02,0.03,0.26,2.4,2,0.02,5,0.2,0.02,0.1,0.09,1,0.1,0.5,0.5,0.1,772.2013440476519,-70.61263078719092,-17.101321817324713
1,,Qu-380,Toquepala Granodiorite,,,,329115.0,8096512.0,60.985,1.57,,64.64,15.81,4.42,1.9,3.89,3.96,3.25,0.57,0.16,0.08,0.004,723,10,99.96,3.0,18.3,5.7,7.4,116.3,1,476.6,0.4,15.0,4.3,91,1.1,188.9,19.9,24.8,52.9,6.18,23.7,4.09,0.95,3.29,0.63,2.95,0.61,1.63,0.27,1.62,0.29,,,,,,,1.2,0.03,0.02,2.15,65.42,20.34,57.2,85,7.4,6.5,153,2.2,2,0.23,0.19,0.03,14.2,4,0.04,45,0.2,0.02,0.1,0.02,2,0.1,10.4,0.5,0.3,821.2800065021538,-70.60703472593711,-17.209930249091936
2,,Qu-381,Toquepala Granodiorite (Aplite Dyke),,,,329115.0,8096512.0,60.2,1.38,,75.12,12.68,1.8,0.26,0.31,3.35,5.34,0.22,0.06,0.03,0.002,282,3,100.0,7.3,14.1,4.5,8.6,225.3,2,104.7,0.6,41.1,7.2,23,2.6,115.6,25.1,39.6,84.1,9.45,32.8,4.9,0.43,3.67,0.73,3.32,0.68,2.03,0.38,2.25,0.39,,,,,,,0.8,0.03,0.03,1.25,57.0,13.07,38.1,86,3.1,2.1,199,2.5,3,0.14,0.5,0.03,9.0,3,0.06,24,0.1,0.02,0.1,0.02,1,0.3,2.4,0.5,0.1,777.518108239748,-70.60703472593711,-17.209930249091936
3,,Qu-700,Cuajone Diorite,,,,315535.0,8114974.0,64.2,1.5,,62.86,15.69,4.83,1.79,4.46,3.32,3.32,0.56,0.16,0.07,0.003,651,12,99.78,5.5,16.7,4.9,5.8,118.5,1,380.7,0.4,18.2,5.0,96,1.7,171.4,12.8,21.7,44.9,5.23,19.7,3.9,0.85,3.06,0.47,2.58,0.48,1.38,0.21,1.4,0.22,,,,,,,2.7,0.38,0.01,1.66,60.94,3.13,43.6,64,8.0,11.7,475,1.5,1,0.07,0.18,0.04,12.7,4,0.04,5,0.1,0.02,0.1,0.03,1,0.2,17.3,0.5,0.3,812.3295327713997,-70.73315609269159,-17.042062016172544
4,,Qu-701,Cuajone Diorite,,,,316290.0,8116626.0,65.1,1.6,,62.64,16.19,5.25,2.27,4.2,3.14,3.4,0.67,0.16,0.19,0.003,668,15,99.47,9.2,18.1,6.9,6.7,108.5,2,416.6,0.5,18.5,4.3,115,1.9,230.2,22.5,23.9,52.2,6.69,26.7,5.02,1.08,4.54,0.75,3.8,0.83,2.4,0.42,2.59,0.41,,,,,,,1.4,0.01,0.02,1.33,1609.53,9.55,390.9,1112,11.6,10.1,666,1.7,1,0.67,0.31,0.19,20.7,4,0.04,5,0.2,0.08,0.2,0.11,1,0.2,3.8,0.5,0.3,839.947568864824,-70.72592780750232,-17.027195916890573
5,,Qu-705,Toquepala Granodiorite,,,,327942.0,8092833.0,60.985,1.5,,62.52,17.7,4.82,2.14,2.83,4.65,0.92,0.54,0.21,0.13,0.002,260,9,99.7,4.9,19.8,3.6,4.6,31.3,2,572.2,0.3,4.5,1.6,93,10.9,127.9,10.0,21.3,43.0,5.07,19.2,3.23,1.0,2.55,0.39,1.81,0.37,0.96,0.18,0.95,0.17,,,,,,,3.2,0.11,1.72,3.77,536.7,42.08,180.7,354,11.5,11.7,1040,2.2,1,0.59,0.33,0.3,16.0,3,0.02,5,0.4,0.05,0.1,0.07,2,0.2,5.4,0.5,0.3,786.2400697569337,-70.61835204663326,-17.243084387058815
6,MAAPER10052182X,QVC19CN-002,Intermineral 2,MQ-04-02,110.75,110.85,327500.0,8108800.0,55.286249999999995,,,72.04,13.86,2.82,0.82,0.71,2.59,4.4,0.26,0.12,0.03,0.004,968,3,99.61,1.9,9.7,2.3,3.2,86.0,1,265.0,0.3,2.4,1.3,21,8.9,77.8,4.8,11.5,22.1,2.47,8.7,1.46,0.45,1.15,0.16,0.85,0.16,0.53,0.09,0.58,0.11,0.003,0.218,<0.02,<0.01,<2,<10,1.8,0.04,1.2,35.58,2272.22,19.72,39.9,1159,4.1,13.0,210,0.6,6.6,0.25,0.1,0.03,6.2,2,0.05,<5,1.5,0.02,<0.1,0.02,32,0.2,3.8,<10,<2,744.6993231629025,-70.62125366119045,-17.098776996349567
7,MAAPER10052183X,QVC19CN-003,Regional Granodiorite,MQ-04-02,78.3,78.38,328420.0,8108526.0,58.91,,,66.65,17.6,3.09,1.33,1.1,3.84,2.7,0.36,0.18,0.03,0.003,492,5,99.41,4.7,15.0,2.8,3.5,64.9,2,390.4,0.2,4.2,1.9,45,10.1,98.6,6.3,18.0,32.0,3.58,13.0,2.1,0.64,1.63,0.21,1.21,0.21,0.68,0.1,0.66,0.11,0.003,0.348,<0.02,<0.01,<2,<10,2.4,0.05,1.08,29.06,3642.66,9.84,37.2,1691,2.8,8.3,250,0.2,13.8,0.14,0.41,0.07,4.8,3,0.05,8,1.4,0.03,<0.1,0.04,19,0.3,7.3,<10,<2,764.0842223229706,-70.61263078719092,-17.101321817324713
8,MAAPER10052184X,QVC19CN-004,Intermineral 2,MQ-04-02,167.8,167.9,327500.0,8108800.0,55.286249999999995,,,66.76,16.86,2.46,1.21,3.39,4.24,2.43,0.36,0.15,0.04,0.006,1652,5,99.61,3.7,16.0,2.7,3.6,48.6,<1,614.9,0.3,3.2,1.1,48,1.8,95.6,6.2,15.7,31.8,3.53,13.4,2.42,0.66,1.64,0.21,1.12,0.21,0.6,0.09,0.59,0.1,0.011,0.171,<0.02,<0.01,<2,<10,1.5,0.07,0.47,118.01,1753.91,2.13,24.2,801,3.6,4.3,252,<0.1,8.2,0.12,0.02,<0.02,6.6,1,0.06,6,0.6,<0.02,<0.1,<0.02,132,0.3,9.9,<10,<2,761.5144334383799,-70.62125366119045,-17.098776996349567
9,MAAPER10052186X,QVC19CN-005,Regional Granodiorite,MQ-04-02,194.7,194.8,328420.0,8108526.0,58.91,,,68.77,16.09,1.88,1.13,3.05,3.79,3.09,0.33,0.15,0.04,0.003,804,5,99.71,3.2,13.6,2.7,3.6,51.3,<1,562.2,0.3,3.8,1.1,34,3.1,93.2,6.4,17.5,34.1,3.85,15.6,2.3,0.66,1.92,0.24,1.23,0.23,0.66,0.1,0.67,0.09,0.002,0.107,<0.02,<0.01,<2,<10,1.3,0.06,0.22,23.52,1091.43,2.04,22.4,449,2.7,3.0,285,0.5,2.5,0.1,<0.02,0.04,6.3,2,0.04,<5,0.4,<0.02,<0.1,<0.02,29,<0.1,8.2,<10,<2,759.4093882122102,-70.61263078719092,-17.101321817324713
10,MAAPER10052188X,QVC19CN-006,Monzodiorite,MQ-04-02,208.0,208.92,327500.0,8108800.0,55.286249999999995,,,64.73,16.97,4.34,1.46,3.71,4.15,2.51,0.5,0.19,0.04,0.003,738,7,99.54,1.1,17.3,3.0,3.8,46.2,<1,659.2,0.2,2.4,0.7,70,1.1,110.8,6.4,16.8,33.7,3.79,14.4,2.59,0.79,2.05,0.26,1.33,0.23,0.6,0.09,0.59,0.09,<0.001,0.233,<0.02,<0.01,<2,<10,0.9,0.02,0.33,2.44,2380.07,2.33,44.2,863,5.8,8.1,265,<0.1,20.9,0.13,<0.02,<0.02,9.4,<1,0.13,<5,1.2,<0.02,<0.1,<0.02,2,<0.1,9.7,<10,<2,773.9025116396024,-70.62125366119045,-17.098776996349567
11,MAAPER10052189X,QVC19CN-007,Intermineral 1,MQ-04-02,354.7,354.8,327500.0,8108800.0,55.286249999999995,,,67.31,16.91,1.98,1.44,1.9,3.9,2.52,0.41,0.17,0.05,0.003,330,6,99.59,2.3,14.5,2.9,3.3,58.7,1,381.6,0.3,2.8,1.9,58,9.0,101.0,9.3,36.3,69.3,7.65,28.6,4.65,1.38,3.34,0.38,1.88,0.34,0.97,0.13,0.87,0.13,0.003,0.206,<0.02,<0.01,<2,<10,3.0,0.29,0.71,32.39,2108.24,23.54,61.6,891,4.0,5.5,321,0.5,3.4,0.37,0.3,0.07,3.5,2,0.06,56,0.9,<0.02,<0.1,<0.02,20,0.1,4.6,<10,<2,766.0932247502412,-70.62125366119045,-17.098776996349567
12,MAAPER10052190X,QVC19CN-009,Granodiorite Porphyry,MQ-04-02,474.8,474.9,327500.0,8108800.0,55.286249999999995,,,66.88,16.88,2.26,1.42,3.3,4.38,2.56,0.42,0.21,0.03,<0.002,545,6,99.54,2.5,12.9,2.8,3.4,63.3,<1,697.2,0.3,3.8,1.7,60,4.4,110.1,7.2,18.3,35.5,4.12,15.9,2.59,0.82,2.05,0.27,1.35,0.25,0.77,0.12,0.8,0.12,0.003,0.225,<0.02,<0.01,<2,<10,1.1,0.07,0.31,27.03,2306.65,1.48,25.6,798,4.8,7.2,258,0.2,6.5,0.13,0.03,0.04,7.1,<1,0.11,<5,0.9,<0.02,0.1,<0.02,7,<0.1,13.9,<10,<2,773.3643246074444,-70.62125366119045,-17.098776996349567
13,MAAPER10052191X,QVC19CN-010,Late Porphyry,MQ-04-02,492.5,492.6,327500.0,8108800.0,55.286249999999995,,,67.38,16.52,2.84,0.94,3.55,3.97,2.7,0.34,0.15,0.03,0.006,751,5,99.8,3.0,15.3,2.7,3.5,63.4,<1,692.1,0.3,3.3,1.1,40,1.2,91.4,6.4,17.6,32.5,3.68,14.0,2.27,0.69,1.79,0.21,1.1,0.22,0.6,0.09,0.64,0.1,<0.001,0.031,<0.02,<0.01,<2,<10,1.3,0.09,0.13,7.18,316.26,1.52,18.7,102,3.2,4.5,218,9.8,1.2,0.02,0.58,<0.02,6.1,<1,0.09,135,0.2,<0.02,<0.1,<0.02,2,0.3,7.2,<10,<2,757.8005164439251,-70.62125366119045,-17.098776996349567
14,MAAPER10052192X,QVC19CN-011,Monzodiorite,MQ-04-02,558.2,558.3,327500.0,8108800.0,55.286249999999995,,,63.38,17.54,4.12,1.54,3.47,4.59,2.5,0.54,0.19,0.05,0.004,687,7,99.69,2.9,16.5,3.3,3.9,75.2,1,612.7,0.3,2.5,0.8,81,2.8,121.1,6.8,22.0,40.9,4.7,18.7,2.9,0.86,2.26,0.27,1.31,0.25,0.69,0.1,0.64,0.1,0.019,0.103,<0.02,<0.01,<2,<10,1.7,0.1,1.04,187.43,1052.96,2.11,23.2,352,6.0,9.5,345,1.2,3,0.07,0.11,0.14,9.1,2,0.19,14,1.6,0.04,<0.1,<0.02,51,0.2,15.8,<10,<2,781.5096160545709,-70.62125366119045,-17.098776996349567
15,MAAPER10052193X,QVC19CN-013,Late Porphyry,MQ-04-02,761.9,761.98,327500.0,8108800.0,55.286249999999995,,,68.69,16.11,1.59,0.88,2.66,4.03,3.86,0.33,0.13,0.02,0.002,855,4,99.71,3.5,12.9,2.6,3.6,81.1,<1,990.6,0.2,3.9,0.9,38,11.6,92.9,6.4,19.0,35.1,3.89,14.2,2.23,0.68,1.71,0.22,1.14,0.22,0.57,0.09,0.67,0.1,0.002,0.074,<0.02,<0.01,<2,<10,1.3,0.09,0.34,19.16,739.93,2.56,15.1,281,2.7,3.5,154,0.5,2.5,0.06,0.1,0.07,5.7,2,0.07,40,0.5,<0.02,<0.1,<0.02,5,0.3,9.9,<10,<2,759.1430660012561,-70.62125366119045,-17.098776996349567
16,MAAPER10052194X,QVC19CN-014,Intermineral,MQ-04-04,347.0,347.1,327500.0,8108800.0,55.286249999999995,,,65.88,16.52,3.1,1.14,3.2,3.69,2.23,0.38,0.16,0.03,0.007,685,6,99.48,1.3,14.4,2.4,3.2,56.0,2,769.6,0.2,2.4,1.2,62,9.9,79.8,6.0,14.0,27.9,3.25,12.6,2.26,0.75,1.84,0.23,1.06,0.21,0.68,0.09,0.54,0.09,0.007,0.26,<0.02,<0.01,<2,<10,3.1,0.03,2.05,79.03,2763.4,2.65,36.3,1335,3.8,4.9,211,<0.1,<0.2,0.17,0.03,0.24,5.4,1,0.06,<5,1.3,<0.02,<0.1,0.08,39,<0.1,7.3,12,<2,746.7412814670627,-70.62125366119045,-17.098776996349567
17,MAAPER10052195X,QVC19CN-016,Monzodiorite,MQ-04-04,464.75,464.83,327500.0,8108800.0,55.286249999999995,,,65.46,16.07,3.49,0.9,3.56,3.19,3.05,0.34,0.14,0.05,0.003,659,5,99.73,1.5,17.7,2.7,4.0,65.7,1,719.3,0.2,2.9,1.2,53,21.5,94.2,5.8,14.5,28.2,3.14,12.5,2.25,0.61,1.57,0.2,1.07,0.2,0.6,0.07,0.59,0.09,<0.001,0.08,0.05,<0.01,<2,<10,3.4,0.06,2.4,0.36,809.95,7.96,60.7,532,2.5,9.4,328,0.6,1.7,0.22,0.03,2.57,5.0,2,0.05,<5,0.6,0.39,<0.1,0.07,<1,<0.1,7.6,<10,<2,760.2919595436288,-70.62125366119045,-17.098776996349567
18,MAAPER10052196X,QVC19CN-018,Intermineral,MQ-04-04,543.0,543.08,327500.0,8108800.0,55.286249999999995,,,65.16,16.2,3.11,0.99,3.1,4.28,3.52,0.35,0.15,0.04,0.003,664,4,99.67,1.5,15.7,2.7,3.6,63.2,1,628.4,0.3,3.3,1.0,51,5.7,89.4,4.9,19.6,34.9,3.7,13.1,2.07,0.6,1.4,0.16,0.82,0.16,0.5,0.08,0.51,0.1,<0.001,0.142,<0.02,<0.01,<2,<10,2.7,0.06,1.97,5.84,1429.96,4.96,29.0,907,4.4,4.2,279,0.3,5,0.13,0.05,0.78,7.0,2,0.05,6,1,0.08,<0.1,0.05,<1,0.2,9.1,<10,<2,755.9813530751362,-70.62125366119045,-17.098776996349567
19,MAAPER10052198X,QVC19CN-020,Monzodiorite,MQ-04-06,215.6,215.72,327500.0,8108800.0,55.286249999999995,,,67.59,16.17,3.78,1.04,2.28,3.42,1.69,0.34,0.16,0.04,<0.002,744,4,99.73,4.4,15.2,3.7,4.9,49.6,1,489.9,0.3,4.2,1.4,34,10.3,126.2,6.9,20.4,38.8,4.28,15.9,2.41,0.79,2.0,0.25,1.22,0.25,0.64,0.1,0.65,0.11,<0.001,0.107,<0.02,<0.01,<2,<10,3.1,0.36,2.21,1.51,1069.63,4.1,27.4,589,2.5,3.7,320,0.2,0.5,0.11,0.39,0.36,3.0,1,0.06,7,0.8,0.03,<0.1,0.05,2,0.5,5.6,<10,<2,785.0775431013551,-70.62125366119045,-17.098776996349567
20,MAAPER10052199X,QVC19CN-021,Early Porphyry,MQ-04-06,255.6,255.72,327500.0,8108800.0,55.286249999999995,,,67.09,16.39,3.02,1.26,3.16,3.82,1.49,0.34,0.15,0.03,0.002,336,5,99.55,0.9,15.4,2.9,3.8,45.2,2,617.2,0.2,3.4,1.2,45,7.3,103.1,5.2,12.7,23.7,2.71,10.1,1.67,0.6,1.31,0.17,1.01,0.16,0.55,0.07,0.46,0.07,0.005,0.237,<0.02,<0.01,<2,<10,2.7,0.09,1.53,48.79,2365.27,3.34,29.8,1112,3.6,7.2,224,<0.1,4,0.17,<0.02,0.19,4.5,1,0.08,<5,1.3,0.11,<0.1,0.04,22,0.1,6.0,15,<2,767.8185120393343,-70.62125366119045,-17.098776996349567
21,MAAPER10052200X,QVC19CN-022,Early Porphyry,MQ-04-06,364.2,364.32,327500.0,8108800.0,55.286249999999995,,,67.19,16.81,2.21,1.05,3.32,4.81,1.73,0.33,0.16,0.04,<0.002,537,4,99.59,1.4,14.4,2.5,3.5,40.7,1,713.5,0.2,2.8,1.2,42,6.2,91.8,6.8,19.1,35.4,4.02,15.2,2.48,0.78,1.8,0.22,1.17,0.23,0.67,0.09,0.67,0.1,0.018,0.181,<0.02,<0.01,<2,<10,1.9,0.14,0.75,168.47,1748.37,4.93,33.2,745,2.7,5.8,302,0.2,0.9,0.23,0.12,0.07,4.8,2,0.03,<5,0.9,0.04,<0.1,0.03,24,0.2,9.4,10,<2,758.1603290057051,-70.62125366119045,-17.098776996349567
22,MAAPER10052201X,QVC19CN-023,Intermineral ,MQ-04-06,584.8,584.92,327500.0,8108800.0,55.286249999999995,,,67.89,16.64,1.99,1.01,3.43,5.04,1.08,0.32,0.14,0.03,<0.002,225,5,99.4,1.8,15.1,2.9,3.5,42.8,1,811.3,0.3,3.0,1.4,37,7.3,96.7,7.3,22.7,40.2,4.48,16.2,2.61,0.76,1.98,0.25,1.32,0.25,0.71,0.1,0.66,0.1,0.007,0.341,<0.02,<0.01,<2,<10,1.8,0.1,0.6,61.63,3380.71,3.05,27.8,1385,2.4,2.7,218,0.2,10,0.14,0.09,0.13,5.0,<1,0.09,13,1.1,0.04,<0.1,0.08,17,0.2,8.6,<10,<2,762.4644477977631,-70.62125366119045,-17.098776996349567
